week_start	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-19-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-19-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-20-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-20-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-27-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-27-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-calib/sub-MonkeyN-held-in-calib_ses-2020-10-28-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-19-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-19-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-20-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-20-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-27-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-27-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-in-minival/sub-MonkeyN-held-in-minival_ses-2020-10-28-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-10-30-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-10-30-Run2_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-11-18-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-11-19-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-11-24-Run1_behavior+ecephys.nwb	sub-MonkeyN-held-out-calib/sub-MonkeyN-held-out-calib_ses-2020-11-24-Run2_behavior+ecephys.nwb
2026-01-05	4833775582	2407211257	1879943059	1866625575	1470730520	3547550394	2137463302	24174880	31710528	14449040	14278472	34682272	52082352	47389184	867922686	615469372	303915197	367545853	193886046	567421612
2026-01-12	2530605235	5230046282	4616026694	1874792571	2955523756	3553555626	2137463302	85009720	31710528	78767680	28556944	52023408	52082352	81757996	658207486	923204058	303915197	0	534572732	283710806
2026-01-19	2407375046	0	1053818880	0	1470730520	1773775197	3691281598	36540164	15855264	0	14278472	17341136	17360784	36903424	0	557797692	303915197	1102637559	0	0
2026-01-26	2609312577	4166773405	3814993710	3773251150	4184682064	6244195764	3629741062	17213240	32956944	15016152	30237952	47463248	35405056	50197640	26278336	320020790	303915197	642800242	21337872	446240086
2026-02-02	8577056581	4814422514	3759886118	2768561230	1470730520	3547550394	2137463302	56766408	21224768	28898080	23314064	17341136	34721568	47389184	329103743	615469372	424329594	367545853	0	0
2026-02-09	2407178522	2407211257	0	1866625575	0	1773775197	0	34993204	15855264	14449040	14278472	0	17360784	23694592	329103743	307734686	303915197	367545853	267286366	0
2026-02-16	2416504786	13642216	1890879107	409600	1475398140	0	0	1432496	16264864	28402244	0	32301788	17360784	0	0	0	0	0	0	0
2026-02-23	2430242105	1118457	1935926282	62887680	1563846060	1779563338	0	5149900	31710528	15074080	19027856	0	17360784	0	911743	307734686	303915197	0	267286366	288719816
2026-03-02	2400426839	4537917689	0	6163043	4454544	0	4268169734	24864696	15855264	14449040	0	34118352	771984	0	0	832151910	4389036	368499706	272218044	1087515308
2026-03-09	0	0	0	0	0	0	0	0	0	0	0	4454544	0	0	0	0	0	0	0	0
2026-03-16	10879087	0	0	0	0	0	0	5228024	0	0	0	0	18669780	6419784	10219248	0	0	0	7402404	0
2026-03-23	4127004	4815012086	3761916866	0	5883229280	1778426265	1047046606	22219144	41536728	14449040	42835416	34682272	34721568	47389184	329103743	923204058	303915197	367545853	0	283710806
2026-03-30	8974596	2407211257	1879943059	1866625575	0	1783863429	0	42392496	0	28898080	14278472	34682272	34721568	23694592	0	0	0	0	267286366	0
2026-04-06	0	0	0	0	0	0	0	18342240	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-13	0	2756857	0	0	9367644	9826200	0	0	0	0	556872	0	0	0	0	10022724	913597	0	0	0
