week_start	sub-20210708001/sub-20210708001_icephys.nwb	sub-20210708002/sub-20210708002_icephys.nwb	sub-20210708003/sub-20210708003_icephys.nwb	sub-20210708004/sub-20210708004_icephys.nwb	sub-20210708005/sub-20210708005_icephys.nwb	sub-20210709001/sub-20210709001_icephys.nwb	sub-20210709002/sub-20210709002_icephys.nwb	sub-20210709003/sub-20210709003_icephys.nwb	sub-20210709004/sub-20210709004_icephys.nwb	sub-20210709005/sub-20210709005_icephys.nwb	sub-20210715001/sub-20210715001_icephys.nwb	sub-20210715002/sub-20210715002_icephys.nwb	sub-20210715003/sub-20210715003_icephys.nwb	sub-20210715004/sub-20210715004_icephys.nwb	sub-20210715005/sub-20210715005_icephys.nwb	sub-20210721001/sub-20210721001_icephys.nwb	sub-20210721002/sub-20210721002_icephys.nwb	sub-20210721003/sub-20210721003_icephys.nwb	sub-20210721004/sub-20210721004_icephys.nwb	sub-20210721005/sub-20210721005_icephys.nwb	sub-20210728001/sub-20210728001_icephys.nwb	sub-20210728002/sub-20210728002_icephys.nwb	sub-20210728003/sub-20210728003_icephys.nwb	sub-20210728004/sub-20210728004_icephys.nwb	sub-20210804001/sub-20210804001_icephys.nwb	sub-20210804002/sub-20210804002_icephys.nwb	sub-20210805001/sub-20210805001_icephys.nwb	sub-20210805002/sub-20210805002_icephys.nwb	sub-20210805003/sub-20210805003_icephys.nwb	sub-20210805004/sub-20210805004_icephys.nwb	sub-20210825001/sub-20210825001_icephys.nwb	sub-20210825002/sub-20210825002_icephys.nwb	sub-20210826001/sub-20210826001_icephys.nwb	sub-20210826002/sub-20210826002_icephys.nwb	sub-20210826003/sub-20210826003_icephys.nwb	sub-20210908001/sub-20210908001_icephys.nwb	sub-20210908002/sub-20210908002_icephys.nwb	sub-20210908003/sub-20210908003_icephys.nwb	sub-20210908004/sub-20210908004_icephys.nwb	sub-20210908005/sub-20210908005_icephys.nwb	sub-20210930001/sub-20210930001_icephys.nwb	sub-20210930002/sub-20210930002_icephys.nwb	sub-20210930003/sub-20210930003_icephys.nwb	sub-20210930004/sub-20210930004_icephys.nwb	sub-20210930005/sub-20210930005_icephys.nwb	sub-20210930006/sub-20210930006_icephys.nwb
2023-12-04	0	18605728	10208736	0	0	23661680	20790104	0	0	31768736	0	0	0	20304936	20304936	0	0	10582072	0	0	16278480	0	13328312	17418328	29595984	0	0	0	0	20365240	0	15543760	20365464	0	0	20186920	0	0	19838504	0	20628416	15280440	0	0	20577056	20577232
2023-12-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1745952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20518768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165843636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-01-22	19134316	12973728	17430652	0	32054760	52843872	14236504	10418248	19413396	45755564	24642528	27010724	48648800	29116108	23417648	37606932	14005136	16222668	20377680	23352380	25081760	14584224	19085452	13527128	23151028	51569844	12193552	14016488	27120272	0	49293304	32743704	18982548	32285884	20440148	4180932	19092448	28736480	24931408	18513660	18045240	20304628	6370944	20189936	21864036	44772908
2024-01-29	0	0	0	16491832	0	0	0	8892776	0	0	0	0	0	0	0	0	0	0	0	0	0	1393644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23544544	0	0	0	0	0	25659944	0	0	0
2024-03-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10259384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-11	99933744	105580456	8892776	87719796	69300972	86865212	115409224	5441848	86869240	78426088	104380132	95498612	98756164	117344092	99754004	90971288	7638084	15324670	19895825	108379060	111263576	71216708	4446388	116055180	121280544	83313636	84146332	64504084	112896644	126586660	96975480	69093964	131825668	110659300	85517000	121337112	62345712	100616892	114356520	107732704	80981032	108880460	76354772	123340424	103620096	62377464
2024-03-18	38042348	35038980	26901792	55345512	174235092	44465512	66869944	29281160	54278188	82721344	50100776	55754640	61058456	52349216	51820532	84370308	13670984	38197484	28107072	46163876	61984724	40681536	20026152	54642656	61447316	55080096	44631356	48013904	46668276	78844960	75648340	74204552	85601900	32894144	46360724	50872968	64148224	29960328	77691820	76481332	51097924	50328728	56717400	50036500	42815412	63107940
2024-03-25	38522672	21866504	24557760	39438096	60162520	61661000	68650340	118562104	42133576	42565024	51346700	13967344	48472540	126486056	34271016	19238752	18728396	19855564	27046076	34176956	36676548	26114436	127642212	41233320	39261764	108236004	45464448	49342008	57448012	33358692	27923452	45201224	34813872	13914040	6370944	54409332	26351472	30429828	40999336	13604620	14223232	147937808	26832328	41896904	26325416	28866464
2024-04-01	12727336	4446388	8892776	6304580	0	0	6304580	6370944	32178976	31323808	19031916	20368616	20280288	0	13136936	0	12224724	6588472	6955856	13236512	32827436	13867424	13618984	2787288	0	6238216	92308392	20592232	6437308	13914040	24456844	14540240	13073708	6437308	0	18583868	7599744	21353584	6370944	13240576	6835492	6370944	6370944	7896488	321798216	9689144
2024-04-08	0	0	0	0	0	0	0	0	147637640	0	0	127475780	0	0	0	0	160655352	0	0	61158556	0	0	0	0	0	0	0	0	0	0	0	0	241995504	0	0	0	113392168	0	0	83352764	0	0	0	0	0	0
2024-04-15	19031916	19941948	123946024	13909344	22716940	36202816	288371020	7039048	18478592	24093756	72830888	13864944	0	13136936	20436976	0	6636400	0	107640204	5773668	12796880	4778208	8177136	13629528	19766464	21224052	19010132	4645480	272832732	7034584	166298360	132728	21786960	95530804	21872408	32518360	7400652	19893576	13592104	15629680	16413244	7100948	21052952	93701660	13716256	14433232
2024-04-22	0	0	0	262063992	0	0	0	0	0	0	0	0	159091776	0	0	0	0	0	0	0	0	0	0	0	272146200	0	0	317412412	0	267297972	0	0	0	0	0	0	0	144968620	0	0	0	0	79202072	0	0	184282488
2024-04-29	0	226716992	0	0	0	0	0	0	0	0	252000240	0	0	0	224269868	202547444	0	0	0	0	0	108444504	0	0	0	0	0	0	0	52207536	0	0	0	0	0	197799988	0	0	0	0	96657084	0	0	0	0	0
2024-05-06	0	0	0	122896812	0	133060708	0	37692052	0	0	0	0	0	273886156	0	0	0	119816320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158022812	0	0	0	0	0	0	198925632	0	0	65638216	147029784
2024-05-13	63052160	200087364	0	0	0	0	0	46253908	0	0	0	0	0	0	0	0	0	0	0	0	111618504	243783564	0	0	0	0	170864472	0	172642768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-20	0	0	0	106042612	0	0	0	0	124016028	0	0	0	0	0	0	0	160842224	0	0	0	0	0	0	0	0	116194576	0	0	0	0	0	169494904	0	0	197843224	0	0	0	0	0	0	0	0	0	0	5246976
2024-05-27	0	0	0	0	131666564	175336900	0	0	0	109310376	0	185601576	0	0	0	0	0	0	0	0	92142776	0	0	0	0	0	0	0	0	321160632	0	0	0	0	0	171167388	0	0	0	0	0	140682740	0	0	0	0
2024-06-03	0	0	0	0	0	0	0	0	0	0	0	0	115345128	157047812	0	0	196330280	0	0	0	0	0	0	128111380	0	0	110192096	0	0	0	54207824	161925628	0	240781756	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-10	0	0	0	0	0	0	0	0	0	0	0	0	0	211725516	0	0	0	0	0	0	0	0	0	0	0	0	19566352	0	0	0	0	0	0	0	198168024	151937964	0	0	0	0	0	0	0	0	0	0
2024-07-08	46901080	32623936	6769128	15175008	22146192	32819912	23106096	8452168	20972404	27050144	22547940	23262136	15175008	36808784	22874792	7830952	11623960	6370944	15775556	0	0	22379836	7113656	32870576	59686200	23593540	38956672	15777768	23433292	21821812	23238288	16199120	15253656	7300040	8892776	0	5441848	9224596	42640080	22146944	23730840	9689144	0	16776304	6968220	6370944
