week_start	sub-Jenkins/sub-Jenkins_ses-20090912_behavior+ecephys.nwb	sub-Jenkins/sub-Jenkins_ses-20090916_behavior+ecephys.nwb	sub-Jenkins/sub-Jenkins_ses-20090918_behavior+ecephys.nwb	sub-Jenkins/sub-Jenkins_ses-20090923_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090812_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090819_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090910_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090920_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090922_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20100923_behavior+ecephys.nwb
2024-11-25	0	0	0	120000000	0	0	0	0	0	0
2024-12-02	0	0	0	0	0	0	0	0	0	180715193
2024-12-16	0	74575000	0	0	0	0	0	0	0	0
2024-12-23	2718068772	3965773882	4488374539	3773669430	0	0	6603818681	5989441241	0	7430448335
2024-12-30	1024109236	0	0	0	0	0	0	0	0	0
2025-01-06	20000000	0	0	0	252559600	0	0	0	0	7430448335
2025-01-13	2711770550	0	4488374539	3773669430	7375599469	0	6603818681	5989441241	4449864980	0
2025-01-20	2708844176	0	4488374539	3773669430	7375599469	0	6603818681	5989441241	4449864980	7430448335
2025-01-27	5338433576	3965773882	4488374539	0	7375599469	0	0	5989441241	0	7430448335
2025-02-03	2708844176	3965773882	4507539867	7379566700	168926100	13144970708	5999419720	11992619830	8919665904	14860896670
2025-02-10	2708844176	16025318864	4488374539	3783479115	0	6554321924	6603818681	5989441241	4449864980	97606920
2025-02-17	2708844176	3965773882	4602535479	0	0	0	0	0	0	0
2025-02-24	2708844176	96109932	0	3773669430	7375599469	6702416680	6603818681	0	4449864980	7439684963
2025-03-03	12704	3965792002	21088	37232	24304	6554346932	6603865257	5998244981	4449930280	147760
2025-03-10	0	3965773882	4501580975	3773669430	0	6554321924	6603818681	5989441241	614400	7430566543
2025-03-17	1822994688	4012318814	0	258491748	7763032057	5602372900	965896356	36367472	3519711084	6576605000
2025-03-24	0	0	0	0	0	0	0	0	0	147760
2025-03-31	5566904344	7931547764	8976749078	11321008290	14751198938	13108643848	13207637362	5989441241	13349594940	14861073982
2025-04-07	0	727771194	8632816150	7547338860	7392785925	10274841424	9608924530	0	8912643204	5323866572
2025-04-14	2725503128	3965773882	0	3773669430	0	6554321924	6603818681	5989441241	0	177312
2025-04-21	8126532528	7935662332	0	11321008290	7375599469	13108643848	6603818681	5989441241	13349594940	7430566543
2025-04-28	0	3965773882	13465123617	4656105626	8655910641	0	0	5989441241	9079008844	7467870147
2025-05-05	0	11897321646	0	0	0	0	0	0	0	29552
2025-05-12	7465131732	0	0	0	9395579045	6554321924	2017115032	0	4449864980	7430448335
2025-05-19	8134520	0	0	0	0	0	0	0	9888236	0
2025-05-26	2708844176	7953858944	9438591777	3773669430	23686495095	26236294544	19833515635	23972298680	16507614288	26422376441
2025-06-02	5565597840	3965773882	8976749078	3773669430	7375599469	13108643848	6603818681	5989441241	8899729960	14860896670
2025-06-09	310573036	3965773882	4488374539	3773669430	7555342901	0	0	5989441241	0	7430448335
2025-06-23	438136696	29150000	108085136	354113216	138617144	219271240	151511824	100572144	117743392	15378692
2025-06-30	75141488	0	0	0	0	0	0	0	0	0
2025-07-07	5861927084	7953656863	6427694119	1077022670	7390585200	11381565164	4919638772	7323373533	6949456212	7430448335
2025-07-14	297695556	266422192	300212840	178427680	388937152	267125488	351511824	361144288	253230176	15378692
2025-07-28	5417688352	10859104600	13072981449	3773669430	17037280338	9543485448	9047809757	11978882482	11409729340	14860955774
2025-08-04	442164404	0	0	0	0	0	3300804281	0	0	29552
2025-08-11	2782225488	0	0	0	0	0	0	2843713241	0	29552
2025-08-18	4973845872	2411724800	0	2306867200	0	0	0	0	5906396	59104
2025-08-25	5139864690	4297958398	4488374539	3773669430	178548880	6661952448	6603818681	0	0	29552
2025-09-01	0	4033066978	0	0	12476432	30527440	0	0	0	3093387856
2025-09-08	413259616	0	4488374539	0	10070817221	13108643848	13207637362	5989441241	4449864980	14860955774
2025-09-15	10858073192	11897321646	4925051414	7547338860	25514144196	21579725148	12321411285	11999879258	5173899356	17456202530
2025-09-22	0	0	0	0	0	0	0	0	0	88656
2025-09-29	3413269172	620238956	0	3218550899	0	0	0	0	0	59104
2025-10-06	5272516472	4114568	4488374539	7547338860	7375599469	6554321924	13207637362	5989441241	8899729960	4156556
2025-10-13	2708844176	7931547764	4488374539	7547338860	14751198938	6554321924	13207637362	11978882482	8899729960	14876740959
2025-10-20	0	0	0	3773669430	7375599469	0	6603818681	0	0	7435718527
2025-10-27	3936420232	12805937778	8976749078	6697885804	14857090626	11967295832	10442031273	0	8899729960	7470099337
2025-11-03	21346209352	9157226504	14130196901	11227295096	32192676994	22130018740	21849824190	6115201021	4539803060	7498945149
2025-11-10	70429948576	7931547764	8976749078	3773669430	22126798407	6554321924	6603818681	5989441241	8899729960	22347300239
2025-11-17	0	186247104	0	0	0	0	0	0	0	37785839
2025-11-24	54176883520	0	0	0	0	0	0	0	0	35431181
2025-12-01	19306107924	7931547764	8976749078	3773669430	7376472599	6571616184	6621909309	11978882482	4449864980	7460557762
2025-12-08	116107915668	8104239768	13499632897	15158917080	15111043374	13144334804	13302075318	18053521231	5975953748	23729595125
2025-12-15	153478394996	18384519286	22528555963	9803073084	30531982908	22778238628	22208718927	30766632253	22265053168	24187136589
2025-12-22	52794487984	3614500922	8976749078	3880849369	4469863813	11656683544	0	5989441241	0	7430448335
2025-12-29	2708844176	3965773882	0	3773669430	20048608	6554321924	4428023481	0	0	8909088
2026-01-05	8677125928	3965773882	8976749078	3773669430	148419624	13108643848	6603818681	15053282443	8899729960	14887874060
2026-01-12	29807771696	0	4488374539	1181333224	13830460481	17534064848	15337527169	5989441241	0	6302051272
2026-01-19	24379597584	7752804142	2464622859	3773669430	0	0	0	5989441241	2200669460	7437386230
2026-01-26	2708844176	6813332378	0	2331877430	3611211629	0	0	0	0	22195306
2026-02-02	21709710240	3974135746	9047453482	7456796278	7417076969	6656736436	19811456043	5989441241	4449864980	18481517174
2026-02-09	19010819500	0	4488374539	3793771666	0	0	25284684	0	0	7445824856
2026-02-16	30070196224	4091232578	4488374539	9203916	14778607270	12231436	0	2731539364	0	69242019
2026-02-23	43476816328	4179959586	8976749078	7798836636	4191259505	9659911588	6618086941	5989441241	8906430056	14885116771
2026-03-02	32641553968	9167962612	4644616950	12589952108	16722521818	19664550928	21977847232	6011938637	7341757744	7452655547
2026-03-09	56973127786	3965773882	4488374539	7567376092	16019897185	16777216	8573157376	5989441241	10051954364	8691821036
2026-03-16	48781228016	16790092	0	14069168	0	28868340	10618240	23094672	0	4127004
2026-03-23	26439640328	3882084476	5462183430	333396932	16722705	4114568	6608995073	0	4457987260	7445771254
2026-03-30	62317519572	3966636614	4494612755	7598372776	7383019033	0	6604270962	11978882482	4449864980	7431168923
2026-04-06	13691340484	2380093436	4857034495	29001068	0	6558436492	0	1240881	4114568	1568404
2026-04-13	5928414128	699316282	729577739	0	0	8428228	0	967847641	0	0
