week_start	sub-YMV01/sub-YMV01_ses-YMV01-170818_ecephys.nwb	sub-YMV02/sub-YMV02_ses-YMV02-170815_ecephys.nwb	sub-YMV03/sub-YMV03_ses-YMV03-170818_ecephys.nwb	sub-YMV04/sub-YMV04_ses-YMV04-170907_ecephys.nwb	sub-YMV05/sub-YMV05_ses-YMV05-170912_ecephys.nwb	sub-YMV06/sub-YMV06_ses-YMV06-170913_ecephys.nwb	sub-YMV07/sub-YMV07_ses-YMV07-170914_ecephys.nwb	sub-YMV08/sub-YMV08_ses-YMV08-170922_ecephys.nwb	sub-YMV09/sub-YMV09_ses-YMV09-171204_ecephys.nwb	sub-YMV10/sub-YMV10_ses-YMV10-171213_ecephys.nwb	sub-YMV11/sub-YMV11_ses-YMV11-171208_ecephys.nwb	sub-YMV12/sub-YMV12_ses-YMV12-171211_ecephys.nwb	sub-YMV13/sub-YMV13_ses-YMV13-180127_ecephys.nwb	sub-YMV14/sub-YMV14_ses-YMV14-180128_ecephys.nwb	sub-YMV15/sub-YMV15_ses-YMV15-180205_ecephys.nwb	sub-YMV16/sub-YMV16_ses-YMV16-180206_ecephys.nwb	sub-YMV17/sub-YMV17_ses-YMV17-180207_ecephys.nwb	sub-YMV18/sub-YMV18_ses-YMV18-180208_ecephys.nwb	sub-YMV19/sub-YMV19_ses-YMV19-180209_ecephys.nwb
2025-09-15	7609997	0	9603849	0	5665861	5969839	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	19578155	0	18553629	0	28238020	25800991	0	0	0	30410782	0	0	0	0	0	0	0	0	0
2025-09-29	1089124839	406789952	0	8009031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	1915754028	101194632	7394906	10879650	5665861	7496211	10570137	9761992	9158232	9119346	5677264	11641796	10168506	5186973	5416434	8162772	9854101	7791266	7692600
2025-10-13	852244438	17551744	16401479	12105361	62386055449	22621361	20314064	12761340	21259680	20733046	17194560	16467234	21878198	14355786	11721014	14840310	20603163	14785336	8486156
2025-10-20	973597	4247296	5356553	5406643	5931317	4778208	6920117	4180932	6310380	4180932	4048204	1440874	4114568	5253337	5727779	4247296	5739533	4247296	4114568
2025-10-27	219696110	40437878	19259705580	20319438203	30693776771	30517750794	70334421104	32871751760	51398053108	35559696	46218360288	45495224552	47779460840	43031996879	39012154	28701072	59994404035	61405180513	23141352
2025-11-03	451994777	127427763	57187048	48686900	54692611	69791560	69569512	52558764	70415440	47560172	46540016	52122626	63990308	37999654	66058313	44230248	51189343	60703879	66335880
2025-11-10	55005702	33551846	38557695	40828835	51855481	68455517	49122720	62361184	51882484	40777305	50539156	43552708	46160314	44604311	28684784	47237197	53115805	53782180	52131172
2025-11-17	34952740	22371046	25834738	40903291	33638425	25065145	26371449	40261972	30285184	26003280	25303536	19680802	40408568	23790055	20608851	28129022	35565386	24986377	17038676
2025-11-24	187440926	22835594	25872600	25444525	31340606	32899018	26401291	28701668	33675548	33635140	32905356	35560932	31596970	21233602	30517562	30849946	29095849	26153423	28193452
2025-12-01	1060941422	29048540	32537502	25873868	25691267	34096491	35113236	19609800	37844880	38944260	24772624	30649996	38764282	28645208	24013890	21318756	35233566	30806566	31182644
2025-12-08	19400926	8990788	14505425	19003171	12883015	22150971	30154197	26704264	31014360	35772527	16211668	25824558	31412692	21554841	21144702	14968381	12040301	21906955	19696048
2025-12-15	15768575106	56795700	14086247751	38381459	50005412	22857015352	43184066	58870644	38548384	44717554	45671056	52774172	63411156	50831946	68055998	49937552	36058936	54547585	48764168
2025-12-22	0	0	19226125185	20292568875	30662568893	30487702507	70303367653	32831828092	0	0	46189841240	34393292800	47757516278	0	48949939611	96942280925	105596145810	61376922457	50245450796
2025-12-29	0	0	5796481	5605735	5732225	0	6876585	7728316	4114568	30162129571	11286088	4114568	4180932	29911394477	4180932	1016029	7239497	4114568	7138092
2026-01-05	26503424	27595540	27213390	30148277	30759692943	44656417	42446758	34410204	49311232	39317985	34302136972	34676100	54468784	30325470	24678090	32133938	55542759	43066613	24039616
2026-01-12	0	0	17580051792	0	30666882553	4786364008	0	323424	0	0	426112	20305751124	0	0	7287096056	10684710364	8667248404	43748262745	0
2026-01-19	18560832	14389104	17853991	20436066	17462131	27565756	16448823	14183760	36223342288	11381527733	28951536	12682920	11928773840	19410031	23111121	19220334	22116675	32728551	34129545888
2026-01-26	12183175193	10038224942	24932126	12546304695	18747968	35386291	47882018419	23396827304	22820116	27818819	33733952	27353062	26308738144	10849075	33133386267	22554446	30345811	27327246	28486004
2026-02-02	12388980	11726866	10155767	12105361	17269673204	23384824	16316095	7661952	15394752	17580569	15873620	15606634	20589608	10506674	22121144	20348522	26164879	30564360	22505320
2026-02-09	7724344892	15423688	17057623	20467225	14434308	14911066	24877051	17399324	24877400	14191550	25430036	11027518	28238236	19951524	17940212	15922703	24378872	21339764	21215184
2026-02-16	28980174	614400	13307029	2584150	12065044	15717851	6810221	7661952	15491444	17496011	6972428	13412924	3890678	7521964	3456411	20621949	14213538	11772249	9556416
2026-02-23	19556486	28387500	25993950	6250463	29533184	14247426	9505874	23927616	19435552	16954753	26329092	20763892	20680770	14897279	21013431	16055431	19456294	15886817	24031692
2026-03-02	0	0	0	1292075	0	1788907	0	0	4114568	7645599	0	0	0	806949	0	0	0	1639257	0
2026-03-09	973597	0	0	0	0	0	4862833	0	0	0	0	0	0	0	0	0	0	0	4114568
2026-03-16	17476370	0	21966484	0	0	16856456	0	0	0	22630124	4579116	8826412	0	0	0	20506476	8229136	0	0
2026-03-23	16060863	1440446	2099009	1817279	6022301	1584107	10039225	0	5659944	2071023	1194840	0	796368	663640	4180932	5160925	55480304	14085361	1024000
2026-03-30	15410023197	0	0	0	0	0	0	1061824	0	0	0	0	0	0	0	62249432	0	4421768	0
2026-04-06	1477132	0	4114568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-13	10763720	0	0	0	0	0	0	0	0	0	0	0	0	58997596	0	0	0	862732	0
2026-04-20	6858130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
