week_start	sub-1047717119/sub-1047717119_ses-1053917650_icephys.nwb	sub-1047717119/sub-1047717119_ses-1053917889_icephys.nwb	sub-1089230952/sub-1089230952_ses-1089231177_icephys.nwb	sub-1089230952/sub-1089230952_ses-1089232011_icephys.nwb	sub-1089233462/sub-1089233462_ses-1089235110_icephys.nwb	sub-1089233462/sub-1089233462_ses-1089235664_icephys.nwb	sub-681539651/sub-681539651_ses-PLACEHOLDER_obj-taag8t_icephys.nwb	sub-681539651/sub-681539651_ses-PLACEHOLDER_obj-v5bwie_icephys.nwb	sub-681561759/sub-681561759_ses-PLACEHOLDER_icephys.nwb	sub-701201569/sub-701201569_ses-PLACEHOLDER_icephys.nwb	sub-791205802/sub-791205802_ses-PLACEHOLDER_obj-10r9ed6_icephys.nwb	sub-791205802/sub-791205802_ses-PLACEHOLDER_obj-g7j7bb_icephys.nwb	sub-791205802/sub-791205802_ses-PLACEHOLDER_obj-xdlohj_icephys.nwb	sub-825455761/sub-825455761_ses-PLACEHOLDER_icephys.nwb	sub-847868497/sub-847868497_ses-847870147_icephys.nwb	sub-847868497/sub-847868497_ses-847870440_icephys.nwb	sub-847868497/sub-847868497_ses-847870571_icephys.nwb	sub-859638045/sub-859638045_ses-872843906_icephys.nwb	sub-893495139/sub-893495139_ses-901315954_icephys.nwb	sub-971847052/sub-971847052_ses-971847307_icephys.nwb	sub-971847052/sub-971847052_ses-971847789_icephys.nwb
2026-03-16	165894488	136341212	112337528	123171592	57338696	81275276	98475984	89585864	113363808	89721972	95298088	89036964	104083848	100753628	185174840	202573260	195873264	155320036	177066856	164978660	133374644
2026-03-23	78230668	60604432	58363282	63216084	31027636	29173738	47338260	43744804	45349020	80958764	50858936	46221690	35271876	43105426	87805336	83763240	86145192	70748924	76938512	80884384	74445571
2026-03-30	0	0	0	0	0	27458265	0	0	32194622	59599134	34512064	0	31954512	33022563	53520036	0	0	0	0	0	0
2026-04-06	0	0	0	8902540	15020083	82374795	34319780	0	0	9038650	0	101507937	0	0	0	0	0	7729944	0	0	12118358
2026-04-13	71389636	65010263	57495097	58147512	45060249	27458265	102959340	57788800	32194622	59599134	34512064	67671958	95863536	33022563	232373862	153924122	145059908	127601020	126751190	175577263	65662567
2026-04-20	161374436	133982924	112796084	118520524	72686319	68697740	194200632	217111604	281159644	152782188	262961212	207848411	222959112	204520624	184912808	189471660	198821124	170059336	186631024	168843632	129837212
2026-04-27	0	0	0	58040088	0	82374795	102959340	32568220	32194622	53841003	34512064	101507937	0	0	0	0	0	8909088	0	0	40287420
2026-05-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8909089	0	0	2227273	0	0
2026-05-11	0	0	0	58147512	26930961	11180453	0	0	0	0	34512064	0	0	0	0	0	0	0	38796796	123956959	0
2026-05-18	120691464	8647056	0	0	16248570	12970584	0	0	43724030	17419131	0	0	64624536	27677711	48258950	13101600	232022864	177878552	8254008	0	35194262
2026-05-25	79548122	101690035	77045134	66082828	18368328	31073996	62386120	75734724	53427956	35828804	63296546	60679195	37274128	43822440	268174914	158650835	149642042	131488452	137580898	168724386	73572338
2026-06-01	0	0	44998979	28008808	11394390	0	0	18748008	0	0	0	0	0	0	30473466	41390310	0	0	0	0	0
2026-06-08	0	0	0	18498536	43097232	18748290	0	0	0	16563452	18333388	16584312	48783664	0	0	78070220	80543208	65157560	196541964	0	23427938
2026-06-15	0	0	0	51570112	0	0	0	110550192	0	65036298	1113636	0	0	40591994	0	0	80412192	64895528	0	0	0
2026-06-22	3078876	57503116	47617611	58147512	0	3209892	0	0	9302136	61326937	80891628	73662713	5371656	0	75700808	0	2423796	3471924	68702044	0	65662567
