week_start	sub-PV02/sub-PV02_ses-awake_ophys.nwb	sub-PV03/sub-PV03_ses-awake_ophys.nwb	sub-PV04/sub-PV04_ses-awake_ophys.nwb	sub-PV05/sub-PV05_ses-awake_ophys.nwb	sub-SLC02/sub-SLC02_ses-anest_ophys.nwb	sub-SLC02/sub-SLC02_ses-awake_ophys.nwb	sub-SLC03/sub-SLC03_ses-anest_ophys.nwb	sub-SLC06/sub-SLC06_ses-anest_ophys.nwb	sub-SLC06/sub-SLC06_ses-awake_ophys.nwb	sub-SLC07/sub-SLC07_ses-anest_ophys.nwb	sub-SLC07/sub-SLC07_ses-awake_ophys.nwb	sub-SLC08/sub-SLC08_ses-awake_ophys.nwb	sub-SLC09/sub-SLC09_ses-anest_ophys.nwb	sub-SLC09/sub-SLC09_ses-awake_ophys.nwb	sub-SLC10/sub-SLC10_ses-anest_ophys.nwb	sub-SLC10/sub-SLC10_ses-awake_ophys.nwb	sub-SLC11/sub-SLC11_ses-anest_ophys.nwb	sub-SLC11/sub-SLC11_ses-awake_ophys.nwb	sub-SLC12/sub-SLC12_ses-anest_ophys.nwb	sub-SLC12/sub-SLC12_ses-awake_ophys.nwb	sub-SLC13/sub-SLC13_ses-anest_ophys.nwb	sub-SLC13/sub-SLC13_ses-awake_ophys.nwb	sub-SOM09/sub-SOM09_ses-awake_ophys.nwb	sub-SOM10/sub-SOM10_ses-awake_ophys.nwb	sub-SOM11/sub-SOM11_ses-awake_ophys.nwb	sub-SOM14/sub-SOM14_ses-awake_ophys.nwb	sub-SOM15/sub-SOM15_ses-awake_ophys.nwb	sub-VIP06/sub-VIP06_ses-awake_ophys.nwb	sub-VIP09/sub-VIP09_ses-awake_ophys.nwb	sub-VIP11/sub-VIP11_ses-awake_ophys.nwb	sub-VIP13/sub-VIP13_ses-awake_ophys.nwb	sub-VIP14/sub-VIP14_ses-awake_ophys.nwb	sub-VIP15/sub-VIP15_ses-awake_ophys.nwb
2023-11-06	11082788	0	0	0	0	0	0	0	99734552	0	0	11680064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6370944	0	0	13757317120	2190012	0	9622780
2023-11-13	0	2787288	0	0	0	0	0	0	4033142608	0	0	0	0	6370944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6629759001	0	0	0
2023-11-20	0	0	0	0	0	0	0	0	1272380916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-27	0	24237730504	30701927877	0	0	0	29090065614	58955570518	29049160248	28847563901	27810552952	28940464856	29073961563	33784256810	0	28241926183	33079144174	0	28030069499	28298066886	41332158026	27990528899	28701466490	42577531476	28922594482	30082242116	30048129093	30062047695	0	27559335961	34550440722	42232141587	27779233398
2023-12-04	41784628592	167668424	8251157	202424807	172111572	0	183500800	341875272	630651596	0	27954428144	0	180937984	33784256810	47185920	0	227258094	224486560	200862459	196230086	285650506	203264899	190685050	272732756	202097842	203068996	210899013	193360335	494269872	181016601	225305362	299587347	196441718
2023-12-11	41504697016	0	0	26857226727	29717633813	29960194342	29090065614	29477785259	29049160248	0	27810552952	28940464856	29073961563	0	28276255691	28241926183	0	66194688320	28030069499	28298066886	0	0	28701466490	42577531476	28922594482	30082242116	30048129093	30062047695	0	0	34550440722	42232141587	27779233398
2024-01-22	31753328	12455868	7764588	21451079	15184057	24864708	31169504	33558734	23533848	25635682	5176392	33410756	12803395	24040020	17323399	0	11726574	28188344	5972760	6834664	46865778	10817332	20635380	20771552	30079780	21073032	24054598	16879303	24542820	5773668	15981510	0	4446388
2024-01-29	0	142880036	75721324	78573320	78442248	84481372	45127520	62448524	216013992	132462544	10817332	93971424	88927760	22961944	0	119188916	245280516	16060212	8560128	72602216	0	163122712	10551876	19908820	0	0	103063292	61941287	24542820	6304580	13592406	15197356	26232066
2024-03-04	0	0	0	0	0	11547336	0	0	250020408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10087328	0	0	0	0	25550140	0	0
2024-03-11	27640356	92622752	10419288	57338636	18109921	2389104	21018522	8295640	68733580	11414608	18447064	11016564	17652964	19350518	10814019	12436195	13916586	2190012	19895003	30916878	30089278	18783982	12874756	22846100	49350218	29251304	18763245	21127567	72963132	103328888	16778018	22000095	38823080
2024-03-18	50635628	39648600	45124014	30573275	22431032	41797936	36710614	40919430	37527652	31178103	60475420	34859348	44780278	29935000	27462362	50871461	24299698	22558436	57851437	40259188	28906142	42141092	27664256	55820612	39304258	54463384	556430627	37259485	91564332	35664391	37266432	35300518	30648126
2024-03-25	64372976	24288309636	36297602	102296134	40859334	39444860	40239228	32975353	43765868	32598194	36916200	33930252	33166578	34646844	1171066053	26658510	29022016	32905896	18133503	23646886	50578608	33911956	26801524	44491660	22768442	31619200	43240647	2190012	55639240	36872090	96266474	41206086	4446388
2024-04-01	6835492	16069852	17816981	16703199	18140109	12639496	20517798	83304107	30283312	12582713	19472712	17064672	10179163	18186154	20998039	0	16070562	12006560	7167312	10374086	18818814	10651398	9158232	259741312	0	6370944	6636400	0	0	16776945	11432722	20835731	15052586
2024-04-08	0	0	0	0	114309088	0	0	0	0	0	30969856	0	0	0	0	265184112	599547904	0	0	616448000	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-04-15	1650412684	930446352	1449647710	1368535527	1330991941	1863689774	1155591788	1190813938	1190320096	1302928759	1167301752	1167229656	467215524	0	0	0	0	0	0	0	1089220608	0	0	0	507547648	0	0	0	137019796	0	0	0	264671232
2024-04-22	272377084	0	409519893	0	0	0	0	0	218632192	0	0	559931392	1296043634	1327892824	1247010326	1245190183	1586945774	1999967328	1289553398	1191392984	1601886388	2584457833	1188110336	1792723984	1206354976	1751151912	1075833081	1084558012	2949120000	976727705	1381611044	1874279286	1109606186
2024-04-29	0	5259264	0	190367888	0	0	0	0	0	0	0	0	0	0	0	0	0	5345280	0	0	0	0	0	0	0	0	0	0	0	258829216	0	0	0
2024-05-06	550304584	479407008	0	0	528763992	0	0	0	0	578318336	15765504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	433869680	0	0	0	0	0	0
2024-05-13	0	0	0	0	0	0	0	431713963	0	0	0	0	0	875063594	0	41799256	0	0	0	0	0	955518315	0	9954600	0	0	0	0	0	0	0	0	0
2024-05-20	0	0	0	0	0	0	0	0	0	0	0	44799616	0	0	0	0	12107776	416421160	0	0	0	106614784	0	0	0	0	74223616	0	354955264	0	0	0	0
2024-05-27	44441600	0	0	0	0	0	0	0	0	0	0	1161945088	536558491	0	270921728	0	0	0	0	0	0	0	0	0	0	0	0	0	2763541672	0	638549680	330331923	0
2024-06-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519965643	0	122530764	0	0	0	0	0	259379200	15880192	0	0	676985672	0	0	0	0	0	61095468
2024-06-10	0	0	0	0	539133224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552628224	0	0	0	0	0	0	0	0	0	0
2024-06-24	183260724	3270032406	0	0	0	0	0	0	0	0	0	15799936910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8504734641	0	0	0
2024-07-08	44587665876	27076512	34918017	33580184	38728153	0	25277482	22750947	31556132	45214537	37689692	19704980	10551048	20838296	42335783	32525267	39545810	42375472	22917895	18515556	23652358	44008363	22235754	17797716	33532130	20506476	20074617	6437308	53892172	35056669	41218258	25543823	49708230
2024-07-22	0	0	0	0	0	0	0	0	0	0	81497884	0	0	0	0	0	0	0	0	56596133772	0	0	20227426992	0	0	0	0	0	0	0	0	0	0
2024-07-29	0	11879156	11547336	7565496	13604620	2190012	0	0	12078248	2190012	0	10020964	25218320	3450928	6636400	11082788	4446388	12741888	10750968	12343704	4446388	0	0	0	10020964	11215516	5441848	7432768	4446388	0	10352784	10020964	6636400
2024-08-19	0	0	0	147599699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	17532558435	9954600	21170116	22364668	5588419393	6636400	18250100	9622780	219292760	4446388	20041928	6370944	29073961563	20241020	7830952	21966484	4446388	4380024	22364668	0	2190012	18980104	0	20174656	7830952	6636400	2190012	24355588	15794632	3251836	7565496	18648284	4446388
2024-09-02	43311120808	0	0	0	46920419696	17047078360	29495346440	42610677026	29011367992	0	0	0	46894102726	0	21106107103	31984153370	0	47167903964	0	0	0	0	24085515112	0	0	0	0	0	0	17065107668	26658157004	0	0
2024-09-09	0	18717209860	30665587510	22817013827	0	0	0	0	234291768	16644789065	20316477564	17644282312	0	33207297274	226847691	223975463	13930987770	0	3014795314	10888749230	17174733554	1052722710	0	37673528760	27717839794	30787095000	30275516072	30506872323	67419372224	3404635781	0	42473647982	18417170398
2024-09-16	530912	11430600	14411541	19134567	19880777	20228530	6636400	19432747	19544248	89856346	209107184	20833168	27533323	246420192	30788695	13080615	0	19479892	6702764	20155430	17215050	19586411	20443926	24699572	27360278	20510416	13504581	21290827	5408728	22248417	0	24813819	0
