week_start	sub-ANM-0170/sub-ANM-0170_ses-20210905_behavior+ecephys.nwb	sub-ANM-0170/sub-ANM-0170_ses-20210906_behavior+ecephys.nwb	sub-ANM-0171/sub-ANM-0171_ses-20210920_behavior+ecephys+ogen.nwb	sub-ANM-0171/sub-ANM-0171_ses-20210922_behavior+ecephys+ogen.nwb	sub-ANM-0171/sub-ANM-0171_ses-20210926_behavior+ecephys+ogen.nwb	sub-ANM-0172/sub-ANM-0172_ses-20210907_behavior+ecephys.nwb	sub-ANM-0173/sub-ANM-0173_ses-20210928_behavior+ecephys+ogen.nwb	sub-ANM-0173/sub-ANM-0173_ses-20211001_behavior+ecephys+ogen.nwb	sub-ANM-0173/sub-ANM-0173_ses-20211002_behavior+ecephys+ogen.nwb	sub-ANM-0173/sub-ANM-0173_ses-20211004_behavior+ecephys+ogen.nwb	sub-ANM-0174/sub-ANM-0174_ses-20210909_behavior+ecephys.nwb	sub-ANM-0174/sub-ANM-0174_ses-20210910_behavior+ecephys+ogen.nwb	sub-ANM-0174/sub-ANM-0174_ses-20210915_behavior+ecephys+ogen.nwb	sub-ANM-0176/sub-ANM-0176_ses-20211108_behavior+ecephys.nwb	sub-ANM-0178/sub-ANM-0178_ses-20211115_behavior+ecephys+ogen.nwb	sub-ANM-0178/sub-ANM-0178_ses-20211116_behavior+ecephys+ogen.nwb	sub-ANM-0178/sub-ANM-0178_ses-20211118_behavior+ecephys+ogen.nwb	sub-ANM-0178/sub-ANM-0178_ses-20211120_behavior+ecephys+ogen.nwb	sub-ANM-0178/sub-ANM-0178_ses-20211121_behavior+ecephys+ogen.nwb	sub-ANM-0178/sub-ANM-0178_ses-20211122_behavior+ecephys.nwb	sub-ANM-0179/sub-ANM-0179_ses-20211121_behavior+ecephys.nwb	sub-ANM-0180/sub-ANM-0180_ses-20211121_behavior+ecephys+ogen.nwb	sub-ANM-0180/sub-ANM-0180_ses-20211122_behavior+ecephys.nwb	sub-ANM-0181/sub-ANM-0181_ses-20211118_behavior+ecephys+ogen.nwb	sub-ANM-0181/sub-ANM-0181_ses-20211120_behavior+ecephys+ogen.nwb	sub-ANM-0181/sub-ANM-0181_ses-20211121_behavior+ecephys.nwb	sub-ANM-0188/sub-ANM-0188_ses-20211130_behavior+ecephys.nwb	sub-ANM-0188/sub-ANM-0188_ses-20211202_behavior+ecephys+ogen.nwb	sub-ANM-0188/sub-ANM-0188_ses-20211203_behavior+ecephys+ogen.nwb	sub-ANM-0190/sub-ANM-0190_ses-20211130_behavior+ecephys.nwb	sub-ANM-0190/sub-ANM-0190_ses-20211202_behavior+ecephys+ogen.nwb	sub-ANM-0190/sub-ANM-0190_ses-20211203_behavior+ecephys+ogen.nwb
2024-07-29	10350264	10022724	7729944	12184488	12315504	8843580	131016	10022724	10022724	12184488	10022724	10088232	8450532	7336896	14018712	11987964	12905076	12118980	10022724	4389036	10088232	4389036	11725932	10088232	9957216	11529408	11856948	9957216	6616308	10546788	10022724	10022724
2024-08-26	86341400	48049964	56572272	42523364	62526620	30457692	45638312	57393764	77182496	90202604	20045448	15590904	17818176	17828296	80760096	21421116	21879672	20241972	20635020	17425128	17228604	33933144	17752668	17359620	16442508	17883684	41710892	18407748	16311492	77257392	17883684	22862292
2024-09-02	0	0	0	0	0	0	39394288	0	0	0	0	0	0	0	242858592	7795452	0	0	0	0	0	0	0	112114272	0	0	21599936	0	0	165347064	0	0
2024-09-09	0	22066928	0	15728640	15728640	10217484	0	55419564	15728640	0	18004728	0	0	0	0	75851696	0	74186640	41163056	52428800	0	0	15455916	0	0	53913736	0	15728640	29781808	0	0	0
2024-09-16	17594452	12954540	16233012	16377432	17651860	17155424	15536832	14596116	16104136	15666184	15100420	14872468	14643552	17441224	10869140	14106856	24315548	17592768	16977500	12524944	13268752	12345652	17146528	13128676	17384012	15441388	13115964	15888900	15165124	22079604	15900348	12322052
2024-09-23	127348640	69800552	107748488	79554968	134848160	35895332	64334312	121807880	155822480	200975048	59257064	108066632	42547832	35537936	187386824	184086896	62271608	129940568	98444744	109753568	64336760	162669152	51610628	105057224	67400792	93977804	70042688	45694184	81372872	170589944	298745432	100308848
2024-09-30	36160032	21519224	34168536	24770696	43201760	10217484	19697144	38855000	50193200	65244056	18004728	34274584	12434984	10098352	60714648	59614672	19009576	48968300	31067288	34836896	32932464	52475424	15455916	33271448	20719304	29578308	21599936	13483768	25376664	55115688	97834184	31688656
2024-10-07	36160032	0	0	0	0	0	0	0	0	0	0	0	0	10098352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25376664	0	0	0
2024-10-21	48868584	33769220	46680564	35841548	51783308	20434968	27558104	45471308	55368332	73563572	26258736	42528592	19509848	18941932	70737372	69637396	26739520	47789156	43775840	36998660	24851256	59615796	25675164	43294172	30873044	37439268	31688168	20165584	35399388	65269428	107529368	41711380
2024-11-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9695184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-18	81163644	51226948	76787716	58778132	95247212	25741116	47779424	87077756	109295600	138873248	44197956	76737668	34499756	29040284	130141860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7926468	0	0
2024-11-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20719304	0	0	0	0	0	0	7860960
