week_start	sub-Rat08/sub-Rat08_ses-Rat08-20130708_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130709_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130710_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130711_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130712_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130713_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130715_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130716_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130717_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130718_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130719_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130720_ecephys+image.nwb	sub-Rat08/sub-Rat08_ses-Rat08-20130722_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140324_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140325_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140326_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140328_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140329_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140402_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140403_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140404_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140405_ecephys+image.nwb	sub-Rat09/sub-Rat09_ses-Rat09-20140407_ecephys+image.nwb	sub-Rat10/sub-Rat10_ses-Rat10-20140624_ecephys+image.nwb	sub-Rat10/sub-Rat10_ses-Rat10-20140626_ecephys+image.nwb	sub-Rat10/sub-Rat10_ses-Rat10-20140701_ecephys+image.nwb	sub-Rat10/sub-Rat10_ses-Rat10-20140702_ecephys+image.nwb	sub-Rat10/sub-Rat10_ses-Rat10-20140704_ecephys+image.nwb	sub-Rat10/sub-Rat10_ses-Rat10-20140705_ecephys+image.nwb	sub-Rat10/sub-Rat10_ses-Rat10-20140708_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150313_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150315_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150316_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150325_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150326_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150327_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150328_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150331_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150401_ecephys+image.nwb	sub-Rat11/sub-Rat11_ses-Rat11-20150403_ecephys+image.nwb
2023-08-14	0	0	0	1055560	15993724	0	0	0	0	202143916	0	0	230415808	0	0	0	0	0	0	62448524	18714648	186947388	0	105054212	259813404	0	0	0	0	52094912	0	0	0	0	324386404	0	252514192	0	0	0
2023-08-21	0	0	9158232	164226556	0	0	0	124631592	0	0	6370944	0	0	0	22431032	0	0	0	9821872	0	11746428	7232848	64970356	0	0	0	21435572	0	0	0	94434316	48711176	0	0	0	80565068	0	0	0	114013352
2023-08-28	0	0	0	2516848	0	0	55546668	0	114145252	205926664	0	68354920	80897716	0	0	0	0	0	0	0	0	0	0	0	0	61054880	0	151242728	67690452	204334756	0	0	102930564	304544396	0	0	50901188	247404164	216744824	0
2023-09-04	0	0	0	1563368	0	10352784	0	0	0	0	0	0	0	0	0	0	0	16591000	0	39022032	0	0	0	90321404	63244892	0	0	179249164	62912244	0	167237280	70943116	80698624	0	62979436	0	0	0	0	258355052
2023-09-11	0	0	0	1477232	0	0	149849084	0	0	0	275012416	0	0	0	0	0	0	0	0	46054960	0	0	0	0	148056428	130404432	0	0	60391240	0	0	0	132129896	0	0	162857256	0	0	0	124432500
2023-09-18	0	0	0	28977092	0	0	0	0	0	268640644	73597676	0	0	0	0	11680064	0	0	0	55214020	0	0	0	0	0	0	0	210307516	0	42472960	117928000	0	0	75986780	0	65234984	38756576	0	0	0
2023-09-25	0	0	0	38705640	0	0	57073040	0	162259980	0	0	0	0	0	12011884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52693016	0	0	0	42141140	0	0
2023-10-02	0	0	6503672	28582528	11215516	0	29797436	0	0	0	0	0	0	0	0	0	0	0	0	6835492	0	0	0	0	0	0	0	0	0	0	155622752	224575776	0	145934436	98749632	44331152	45791160	78906796	0	183894644
2023-10-09	6370944	0	0	1178760	0	0	0	249461448	0	0	170951180	20108292	0	0	0	0	0	0	0	0	0	0	0	237249644	0	0	0	0	75721324	305340764	0	0	0	0	0	0	0	0	135117104	0
2023-10-16	0	0	0	51998052	0	0	0	0	66031352	14211057708	0	0	0	43461378048	0	0	0	0	0	0	0	0	16591000	0	8133719044	67889544	20108292	22364668	0	0	0	0	176727332	0	0	0	0	0	0	0
2023-10-23	0	0	0	33508235700	102074727012	0	17135971204	0	0	34977200464	0	15932111783	16948966357	0	0	49356604304	38456697272	0	81419366877	0	71084877976	0	44605832742	21653140449	0	30928554511	22704891241	20022123340	21955330563	0	0	19664386950	0	16427942157	0	0	65302176	0	0	0
2023-10-30	0	0	40859129624	102232	0	0	0	0	0	0	0	0	0	0	35945185280	0	394264576	0	0	24355588	0	25912410112	0	0	0	42672052	0	181770168	0	0	0	0	8449490532	134518172	0	0	47782080	0	52361196	0
2023-11-06	103024140961	0	0	163644556	52229618276	0	0	0	52095740	0	0	150579916	43534784	0	0	0	17297309696	0	0	0	0	0	0	0	285630656	0	0	0	0	0	0	2190012	0	0	101205100	117796100	0	0	0	0
