week_start	sub-2282/sub-2282_ses-20190914T145458_ecephys+ophys.nwb	sub-2282/sub-2282_ses-20190914T151231_ecephys+ophys.nwb	sub-2282/sub-2282_ses-20190914T162358_ecephys+ophys.nwb	sub-2282/sub-2282_ses-20190914T164312_ecephys+ophys.nwb	sub-2282/sub-2282_ses-20190914T170145_ecephys+ophys.nwb	sub-2610/sub-2610_ses-20201005T153308_ecephys+ophys.nwb	sub-2615/sub-2615_ses-20201007T162625_ecephys+ophys.nwb	sub-2748/sub-2748_ses-20200928T173432_ecephys+ophys.nwb	sub-2763/sub-2763_ses-20200828T154656_ecephys+ophys.nwb	sub-2763/sub-2763_ses-20200828T161323_ecephys+ophys.nwb	sub-2763/sub-2763_ses-20200828T163435_ecephys+ophys.nwb	sub-2765/sub-2765_ses-20200814T153629_ecephys+ophys.nwb	sub-3112/sub-3112_ses-20210227T185041_ecephys+ophys.nwb	sub-3278/sub-3278_ses-20210614T151114_ecephys+ophys.nwb	sub-3443/sub-3443_ses-20210814T190234_ecephys+ophys.nwb	sub-3443/sub-3443_ses-20210814T193211_ecephys+ophys.nwb	sub-3445/sub-3445_ses-20210814T223214_ecephys+ophys.nwb	sub-3445/sub-3445_ses-20210814T223641_ecephys+ophys.nwb
2025-04-21	3316937220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-09	53223928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-16	15661904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-23	14620	9738	9750	6953	12464	25315	19610	39830	38178	38388	38442	31950	24985	40589	15155	21516	20230	25084
2025-06-30	110842740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-14	9756	0	4769	20859	12464	5085	9805	5690	12726	25592	6407	12780	5045	4973	5092	10758	10172	15132
2025-07-21	16259180	0	0	0	0	0	0	0	0	1884466623	0	0	0	0	0	0	0	0
2025-07-28	0	0	0	0	0	0	1415577600	0	0	0	0	1902390887	2841454466	3303014400	0	0	0	0
2025-08-04	4966709395	0	0	6743477966	5800628426	2786083796	3687409022	2772654103	4427089094	2995492387	3145710798	3265539687	4152174466	4938122253	7912520832	5523569687	4945560907	2527982644
2025-08-11	8162772	1939865600	3415364078	0	0	4257390412	3687409022	2766084067	3211205730	2985471423	3130712534	3265539687	3473386888	0	2548794692	0	3215410507	4076
2025-08-18	113099116	0	0	0	0	0	0	0	0	0	2344280534	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	0	0	0	0	1743199330	0	0	0	0	0	0	0	0	0
2025-09-01	37562024	0	0	0	0	0	3687409022	1769936867	0	0	0	0	0	0	0	0	0	0
2025-09-08	2212030564	0	0	0	0	0	0	0	0	0	0	0	0	0	1939865600	3373988887	0	0
2025-09-15	109780916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	9622780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	4512752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	102746332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	4114568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	19311924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-01	25881960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	2048	0	0	0	0	0	0	0	0	1853009343	0	0	0	0	0	0	0	0
2025-12-15	17520096	8428228	5788928338	8566811504	7590507666	8822753192	3699885454	5554864622	5707304	12410068	3148431722	6531079374	4158678138	9876244506	8494592	7167312	4945560907	14600080
2025-12-22	0	0	0	0	2071939173	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	0	2511339520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	713428872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-12	0	8458578866	2584739840	0	2652484732	0	0	0	0	5132475663	0	0	0	0	6960572304	0	0	0
2026-01-19	5093877679	0	5774660078	2643545806	0	2246067156	1625292800	2766084067	0	0	3130712534	13949721413	9800387436	7695206426	0	0	0	4939266354
2026-01-26	2292840595	0	0	0	0	0	0	1200619520	1373634560	0	2034237440	2007248487	0	0	0	0	2542796800	2233466880
2026-02-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2370796672	2694840320	0	0
2026-02-09	8572920367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	7300040	0	0	0	0	1024000	13234976	11244056	4512752	0	9657028	5476096	14152656	0	0	0	0	0
2026-02-23	0	0	0	0	0	0	0	4114568	0	5043664	0	0	980866	0	0	0	0	0
2026-03-02	0	1070553	938478	0	5943621	4180932	4918790	0	1170530	0	5344666	0	0	0	789632	0	4579116	923954
2026-03-09	6702764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4781999	0	0
2026-03-16	7300040	12874616	18515556	10817332	25948324	0	0	9224596	0	9689144	0	0	0	0	0	0	0	0
2026-03-23	5201419	0	5053046	0	0	803796	0	8771464	5315426	4313660	0	929096	1843598	0	0	5047455	0	0
2026-03-30	6744328	4224046553	8361864	0	0	0	0	1061824	0	0	0	0	0	0	5509196772	0	0	0
