region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
DO/Monte Plata Province	22339428	4	4	0
DO/Nacional	490507918	135	135	0
DO/Peravia	4783507	4	4	0
DO/Puerto Plata	137568720	25	25	0
DO/Samaná	39248080	5	5	0
DO/San Cristóbal	66812255	22	22	0
DO/San Juan Province	339293	1	1	0
DO/San Pedro de Macorís	18490192	8	8	0
DO/Santiago Province	371714037	82	82	0
DO/Santo Domingo Province	684304342	210	198	1
DO/Valverde Province	5562347	6	6	0
DZ/Adrar	1113636	1	1	0
DZ/Algiers	42111252371	44662	363	59
DZ/Annaba	85112374	31	31	0
DZ/Batna	40754211	16	16	0
DZ/Béchar	39441733	14	14	0
DZ/Béjaïa	917112	1	1	0
DZ/Biskra	8018512	7	7	0
DZ/Blida	333725394	116	114	1
DZ/Bordj Bou Arréridj	2310756	2	2	0
DZ/Bouira	24360768	12	12	0
DZ/Chlef	12774060	2	2	0
DZ/Constantine	26885035	15	15	0
DZ/Djelfa	11708677	3	3	0
DZ/El Oued	68683186	36	36	0
DZ/Ghardaia	4088498	3	3	0
DZ/Guelma	730706	2	2	0
DZ/Jijel	7074864	1	1	0
DZ/Khenchela	4951528	5	5	0
DZ/Laghouat	30749175	13	13	0
DZ/M'Sila	6770081	7	7	0
DZ/Mascara	10088232	1	1	0
DZ/Mila	4782084	2	2	0
DZ/Mostaganem	13530600	9	9	0
DZ/Oran	2359819427	96	96	0
DZ/Ouargla	77508457	28	28	0
DZ/Saida	271	1	1	0
DZ/Sétif	202435647	87	86	1
DZ/Sidi Bel Abbès	5120752	2	2	0
DZ/Skikda	432760	1	1	0
DZ/Tiaret	1892964	3	3	0
DZ/Tindouf	16384	1	1	0
DZ/Tipaza	12940980	2	2	0
DZ/Tizi Ouzou	19372370	6	6	0
DZ/Tlemcen	98555901	33	33	0
EC/Azuay	269101552	63	63	0
EC/Bolívar	5099811	3	3	0
EC/Canar	3406416	2	2	0
EC/Carchi	44619726	20	19	1
EC/Chimborazo Province	78403564	23	23	0
EC/Cotopaxi	31662302	14	14	0
EC/El Oro	103335221	29	29	0
EC/Esmeraldas	77347316	20	20	0
EC/Guayas	1110292311	341	338	3
EC/Imbabura	82803271	24	24	0
EC/Loja	110901033	43	43	0
EC/Los Ríos	41828310	18	17	1
EC/Manabí	161443549	60	60	0
EC/Morona-Santiago Province	1878107	1	1	0
EC/Napo	2048468	2	2	0
EC/Orellana Province	19649513	4	4	0
EC/Pastaza Province	2354756	1	1	0
EC/Pichincha	2104143691	756	755	1
EC/Santa Elena	13275205	10	10	0
