week_start	sub-1/sub-1_ses-1_ecephys+image.nwb	sub-1/sub-1_ses-2_ecephys+image.nwb	sub-10/sub-10_ses-1_ecephys+image.nwb	sub-11/sub-11_ses-1_ecephys+image.nwb	sub-12/sub-12_ses-1_ecephys+image.nwb	sub-12/sub-12_ses-2_ecephys+image.nwb	sub-13/sub-13_ses-1_ecephys+image.nwb	sub-14/sub-14_ses-1_ecephys+image.nwb	sub-15/sub-15_ses-1_ecephys+image.nwb	sub-16/sub-16_ses-1_ecephys+image.nwb	sub-17/sub-17_ses-1_ecephys+image.nwb	sub-18/sub-18_ses-1_ecephys+image.nwb	sub-19/sub-19_ses-1_ecephys+image.nwb	sub-19/sub-19_ses-2_ecephys+image.nwb	sub-2/sub-2_ses-1_ecephys+image.nwb	sub-20/sub-20_ses-1_ecephys+image.nwb	sub-21/sub-21_ses-1_ecephys+image.nwb	sub-22/sub-22_ses-1_ecephys+image.nwb	sub-22/sub-22_ses-2_ecephys+image.nwb	sub-22/sub-22_ses-3_ecephys+image.nwb	sub-23/sub-23_ses-1_ecephys+image.nwb	sub-24/sub-24_ses-1_ecephys+image.nwb	sub-25/sub-25_ses-1_ecephys+image.nwb	sub-26/sub-26_ses-1_ecephys+image.nwb	sub-26/sub-26_ses-2_ecephys+image.nwb	sub-27/sub-27_ses-1_ecephys+image.nwb	sub-28/sub-28_ses-1_ecephys+image.nwb	sub-29/sub-29_ses-1_ecephys+image.nwb	sub-3/sub-3_ses-1_ecephys+image.nwb	sub-30/sub-30_ses-1_ecephys+image.nwb	sub-31/sub-31_ses-1_ecephys+image.nwb	sub-31/sub-31_ses-2_ecephys+image.nwb	sub-32/sub-32_ses-1_ecephys+image.nwb	sub-33/sub-33_ses-1_ecephys+image.nwb	sub-34/sub-34_ses-1_ecephys+image.nwb	sub-35/sub-35_ses-1_ecephys+image.nwb	sub-36/sub-36_ses-1_ecephys+image.nwb	sub-4/sub-4_ses-1_ecephys+image.nwb	sub-5/sub-5_ses-1_ecephys+image.nwb	sub-5/sub-5_ses-2_ecephys+image.nwb	sub-6/sub-6_ses-1_ecephys+image.nwb	sub-7/sub-7_ses-1_ecephys+image.nwb	sub-8/sub-8_ses-1_ecephys+image.nwb	sub-9/sub-9_ses-1_ecephys+image.nwb
2024-10-14	25127151	690697464	619716853	679365152	518982167	405439365	549680025	0	764330764	894015988	1020324040	361020412	1288783974	0	721722889	0	555194732	436196162	0	294892744	342732175	99993880	241241346	419993012	304393669	336686231	350366376	537458133	0	332370631	350821067	389539797	386285520	371852309	314697340	140265520	191200185	0	0	0	0	1231929827	475594736	0
2024-10-21	1541832382	0	10485760	679365152	634262574	0	0	0	764330764	935959028	118548680	114605052	1408405708	237406114	721722889	104857600	555194732	0	315608228	394507464	117288335	110506765	356584706	535898984	414800778	447928622	119679656	118027733	120201325	444540302	120134347	402406106	505184160	486803498	118020472	326424720	117799865	120047988	119884505	621801704	121621651	188596707	703266768	836692610
2024-10-28	212565296	0	1086873738	0	0	0	0	0	0	0	0	0	0	0	6550800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4127004	0	0	0	0	0	0	0
2024-11-04	0	0	9367644	6223260	0	0	10153740	0	0	8188500	6681816	0	0	0	9760692	8057484	4389036	0	0	0	0	9957216	10153740	16377000	10088232	10088232	10022724	2161764	10153740	5830212	0	7991976	0	8516040	4389036	6419784	4127004	6747324	0	7860960	0	0	7860960	0
2024-11-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8516040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-18	54905370	54682016	24379392	54496604	27919155	53083918	28797769	46186998	24298252	31363856	34790816	27571508	31211906	31603949	58862982	0	0	0	0	0	0	0	0	0	0	0	0	0	8319516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8057484	0	0	0	0	0	0	0	0	0	0	0	8122992	0	0	0	0	0	0	0	0	0
2024-12-02	0	0	301357133	0	0	0	343932928	0	469762048	0	0	0	0	520307665	294206482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7795452	0	155313788	0	83886080	0	0	0	0	0	0	0
2024-12-16	23609685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28281944
2024-12-23	746023151	690697464	0	0	0	405439365	0	0	764330764	894015988	0	361020412	1288783974	931349457	721722889	0	0	436196162	0	0	342732175	0	241241346	0	0	0	350366376	0	0	332370631	0	290332013	0	371852309	0	0	0	1089980788	733301465	510130292	410836135	1231929827	475594736	0
2024-12-30	517269688	0	519460941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275193329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-06	1631578342	741138624	519516389	679365152	518982167	405439365	0	0	764330764	0	0	361020412	0	931349457	721722889	440076800	0	436196162	0	0	342732175	262550285	241241346	839986024	304393669	0	350366376	537458133	911876205	332370631	350821067	0	386285520	371852309	314697340	140265520	191200185	1089980788	733301465	510130292	410836135	1231929827	475594736	596965590
2025-01-13	4192512	0	66935824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19914432	0	0	19586892	0	0	0	0	0	0	0	20954700	0	0	0	0	0	0
2025-01-20	3328997019	1809178096	2429867524	2507446288	1398574998	1892826361	2662781593	1885318140	1369107512	4263669712	3467940032	1368247456	3011914548	2021785506	1856613617	509003920	1912721476	1044111600	1351486564	898364904	938091790	629789530	1134892698	675245172	1030492575	807523394	492884400	1284501178	2117135106	463280366	485038795	117440512	923676296	531110693	448865284	238588080	464463147	1448049577	1186124689	661125236	938698453	360710144	1594207924	773126358
2025-01-27	774132695	690528032	0	0	1037765374	405388453	0	0	0	0	0	360908172	0	0	721549137	219922064	555029396	0	315553276	0	0	262514453	0	419905428	304329197	0	0	537327845	0	0	0	0	0	0	0	0	0	1089769996	733139857	509980528	410731799	0	475457152	596877902
2025-02-03	4010049258	0	30052931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-10	1529032880	1381056064	1038624106	679215592	0	405388453	0	399996163	1528320600	893755892	1019994792	721816344	2576785612	931052497	721549137	0	0	0	0	294837848	342656831	262514453	0	419905428	304329197	0	350278064	1074655690	0	0	350687691	0	772271800	371727141	314647556	280531200	382314866	1089769996	1466279714	0	410731799	0	475457152	596877902
2025-02-17	25952256	34707292	8254008	705430480	523533755	435122818	4456448	425948419	766322064	9542052	34528196	363069936	0	965308410	725219153	219922064	585370688	464004236	1897980	27319896	26904383	262514453	4192512	4127004	336747766	30079260	380541908	8515817	25741973	34047379	25760203	297785697	411954872	399979182	786432	170166784	25744569	34310952	740990926	25800560	412650030	0	478661888	29924202
2025-02-24	745898455	1381056064	523373549	1358431184	1037765374	0	0	404401613	1528320600	893755892	2044116588	360908172	1288392806	931052497	727313841	443971132	564528056	445842474	635233556	298899344	4231924	531776230	245256146	839810856	10022724	336619435	350278064	537327845	911657621	670895726	701375382	12315504	390262904	743454282	633422116	280531200	8712564	1089769996	500354284	509980528	785646427	1251580919	640332624	617905970
2025-03-03	0	690528032	519312053	0	518882687	405388453	549568265	399996163	764160300	0	0	360908172	1288392806	931052497	721549137	219922064	0	436016274	315553276	294837848	0	0	241194650	0	304329197	336619435	0	537327845	911657621	0	350687691	290251157	0	0	314647556	140265600	191157433	0	733139857	509980528	410731799	0	0	0
2025-03-10	0	0	4061496	0	0	0	0	0	4454544	0	0	0	0	0	0	0	0	4061496	0	0	0	0	282923246	716800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-17	759065855	0	0	679215592	0	0	0	0	411038208	0	0	269614600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-24	31836192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35894976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
