week_start	sub-17797/sub-17797_ses-4-scan-10_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-4-scan-7_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-4-scan-9_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-5-scan-3_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-5-scan-6_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-5-scan-7_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-6-scan-2_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-6-scan-4_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-6-scan-6_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-6-scan-7_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-7-scan-3_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-7-scan-4_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-7-scan-5_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-8-scan-5_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-8-scan-7_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-8-scan-9_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-9-scan-3_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-9-scan-4_behavior+image+ophys.nwb	sub-17797/sub-17797_ses-9-scan-6_behavior+image+ophys.nwb
2026-01-05	37877926	83254056	37611342	101499907	81883710	64351392	42870152888	58982308	42620951340	75021590	46909752	108553116	69551046	44751276	42506432584	102055188	73611513	40177698	42383992
2026-01-12	97308052	7840117980	4652179532	0	0	0	0	0	0	21628178064	0	44473253888	0	15091178568	0	0	0	35532888184	0
2026-01-19	44511944	22708338	33025782	67686573	37863194	27047642	36362674	35255858	57687372	51108184	26977437	23709274	45844530	30667056	35836854	50372514	33872946	23407650	23812316
2026-01-26	37295697488	38332313946	30692786301	39764924062	36985240889	64693256	86648665	37808458110	20514087	70501538	37246752006	68869000	41069100962	68511894	58417930	79063972	48254607	46815300	60767760086
2026-02-02	55317356	24650640	47442417	31842491	29674694	43927220	44878714	9242905	29423175	47371242	20194347	28294834	27833520	15300774	32233914	46199774018	33676422	25627824	20029150
2026-02-09	147199545	1432221825	51831453	57991389	23255125	14077058	18181337	13369909	16387083	19851910	26977437	66736718700	27374964	42168366	22515568	62949004	10516689	32316738	27546272
2026-02-16	16069521	3268645090	27945087	28710871	15910868	18986370	30514093	14625536	14455230	23326820	19753674	3505912430	18076518	0	13386794	17882638	15102249	4127004	11709634
2026-02-23	19856425	113394114	68852556	75349036	18997105	29722520	41382662	36672906	14040447	25441130	35493477	42279608	40144840116	26781744	31293640	38820724	25160382	30127536	44410698
2026-03-02	70467997433	6269876573	0	0	556139949	1461803072	466739200	591591705	0	11663410	0	18857194	4716576	0	0	4258020	0	2067587611	0
2026-03-09	41463342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5854327891	0
2026-03-16	11372789	71016994116	23522247	20378591	73569812457	474127856	413511133	71252850251	72639547888	1216153766	71303152736	68436417124	695669454	1726619608	55446908	18930766	35808087	17111812	589572
2026-03-23	12364932072	0	1204348927	15793031	10743097	20489680	13988825	1209838980	4127004	4561542842	589572	618577401	4061496	35483049814	13729196554	2663948270	2084414345	23877324718	2526077320
2026-03-30	4192512	5721801612	17495797940	4127004	0	0	0	720588	4192512	14152014	0	4127004	0	586078374	0	9602402	4323528	1703208	4192512
2026-04-06	0	1415782400	720588	0	0	0	0	0	0	0	0	0	2560000	0	0	0	0	0	0
2026-04-13	0	328704000	0	0	488140800	165785600	103526400	96256000	0	409600	0	375914188	0	0	0	0	4127004	0	1656515938
