week_start	sub-Fig4-5-Bi100us-09/sub-Fig4-5-Bi100us-09_ses-BPAE-5xBipolar-100us_image.nwb	sub-Fig4-5-Bi100us-11/sub-Fig4-5-Bi100us-11_ses-BPAE-5xBipolar-100us_image.nwb	sub-Fig4-5-Bi100us-13/sub-Fig4-5-Bi100us-13_ses-BPAE-5xBipolar-100us_image.nwb	sub-Fig4-5-Bi1200ns-02/sub-Fig4-5-Bi1200ns-02_ses-BPAE-5xBipolar-1200ns_image.nwb	sub-Fig4-5-Bi1200ns-03/sub-Fig4-5-Bi1200ns-03_ses-BPAE-5xBipolar-1200ns_image.nwb	sub-Fig4-5-Bi1200ns-14/sub-Fig4-5-Bi1200ns-14_ses-BPAE-5xBipolar-1200ns_image.nwb	sub-Fig4-5-Bi300ns-04/sub-Fig4-5-Bi300ns-04_ses-BPAE-5xBipolar-300ns_image.nwb	sub-Fig4-5-Bi300ns-08/sub-Fig4-5-Bi300ns-08_ses-BPAE-5xBipolar-300ns_image.nwb	sub-Fig4-5-Bi300ns-15/sub-Fig4-5-Bi300ns-15_ses-BPAE-5xBipolar-300ns_image.nwb	sub-Fig4-5-Bi500us-08/sub-Fig4-5-Bi500us-08_ses-BPAE-5xBipolar-500us_image.nwb	sub-Fig4-5-Bi500us-10/sub-Fig4-5-Bi500us-10_ses-BPAE-5xBipolar-500us_image.nwb	sub-Fig4-5-Bi50us-06/sub-Fig4-5-Bi50us-06_ses-BPAE-5xBipolar-50us_image.nwb	sub-Fig4-5-Bi50us-08/sub-Fig4-5-Bi50us-08_ses-BPAE-5xBipolar-50us_image.nwb	sub-Fig4-5-Uni100us-08/sub-Fig4-5-Uni100us-08_ses-BPAE-5xUnipolar-100us_image.nwb	sub-Fig4-5-Uni100us-10/sub-Fig4-5-Uni100us-10_ses-BPAE-5xUnipolar-100us_image.nwb	sub-Fig4-5-Uni100us-12/sub-Fig4-5-Uni100us-12_ses-BPAE-5xUnipolar-100us_image.nwb	sub-Fig4-5-Uni1200ns-01/sub-Fig4-5-Uni1200ns-01_ses-BPAE-5xUnipolar-1200ns_image.nwb	sub-Fig4-5-Uni1200ns-15/sub-Fig4-5-Uni1200ns-15_ses-BPAE-5xUnipolar-1200ns_image.nwb	sub-Fig4-5-Uni300ns-01/sub-Fig4-5-Uni300ns-01_ses-BPAE-5xUnipolar-300ns_image.nwb	sub-Fig4-5-Uni300ns-09/sub-Fig4-5-Uni300ns-09_ses-BPAE-5xUnipolar-300ns_image.nwb	sub-Fig4-5-Uni300ns-16/sub-Fig4-5-Uni300ns-16_ses-BPAE-5xUnipolar-300ns_image.nwb	sub-Fig4-5-Uni500us-07/sub-Fig4-5-Uni500us-07_ses-BPAE-5xUnipolar-500us_image.nwb	sub-Fig4-5-Uni500us-09/sub-Fig4-5-Uni500us-09_ses-BPAE-5xUnipolar-500us_image.nwb	sub-Fig4-5-Uni50us-03/sub-Fig4-5-Uni50us-03_ses-BPAE-5xUnipolar-50us_obj-o92bhj_image.nwb	sub-Fig4-5-Uni50us-03/sub-Fig4-5-Uni50us-03_ses-BPAE-5xUnipolar-50us_obj-wlwhic_image.nwb	sub-Fig4-5-Uni50us-05/sub-Fig4-5-Uni50us-05_ses-BPAE-5xUnipolar-50us_image.nwb
2025-09-01	1865870123	1881747900	0	0	0	0	0	0	0	0	0	1876425314	0	0	0	0	0	1077490511	0	0	0	0	1889351194	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1868438895	1868438895	0
2025-09-22	68506539	65895812	66234555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	0	0	0	5923407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	64269816	64863204	61452012	18922070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-13	63745752	61522296	62238108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	20549832	21031496	20374824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	21859992	21752084	20178300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	88401291	86534260	87067935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	62763132	62177376	60403884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	36207861	36641348	34198389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	69682449	79745612	77892225	39173784	38780736	26530740	29413092	24696516	40614960	47951856	23517372	22993308	35374320	45724584	26268708	34784748	46510680	23779404	33671112	45003996	35505336	36291432	42973248	37012020	28102932	37405068
2025-12-01	35749305	36903380	34132881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	30529962	28009812	31184562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	3781093918	3817874296	3793050586	2107097682	3774586224	2110972872	2037894070	2042288086	2053087986	3801767566	3781039596	3762807844	3752298494	3788009466	3783234754	3787035440	2182894552	2169851338	1994188432	2054647812	2065485172	3804097848	3795406928	3749455326	3745131798	3740555546
2025-12-22	0	0	0	0	1882019718	0	0	0	1017896937	0	0	0	1868943367	0	0	0	0	0	0	1023164148	0	1896579006	0	0	0	1863792481
2025-12-29	0	0	0	0	0	0	0	0	0	0	1885049880	0	0	0	0	1888604620	0	0	0	0	0	0	0	0	0	0
2026-01-05	48218739	46764048	1920077714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-12	4006202438	4899339208	0	0	3875604566	0	0	0	2470611486	0	0	0	5097161602	5136344498	0	0	0	0	0	3069492444	2594233092	5689737018	5485640556	0	0	5591377443
2026-01-19	20811864	21424544	20833380	0	0	1046806626	0	0	0	1894627769	0	0	0	0	1884444251	4298395068	0	0	0	0	0	0	0	0	4500885446	0
2026-01-26	31119534	31088688	30922530	1048668495	0	0	1010856797	0	0	0	0	1876425314	0	1889877729	0	0	1084175888	1077490511	989266010	0	1024947134	0	0	1868438895	0	0
