week_start	sub-BWRat17/sub-BWRat17_ses-BWRat17-121712_ecephys.nwb	sub-BWRat17/sub-BWRat17_ses-BWRat17-121912_ecephys.nwb	sub-BWRat18/sub-BWRat18_ses-BWRat18-020513_ecephys.nwb	sub-BWRat19/sub-BWRat19_ses-BWRat19-032413_ecephys.nwb	sub-BWRat19/sub-BWRat19_ses-BWRat19-032513_ecephys.nwb	sub-BWRat20/sub-BWRat20_ses-BWRat20-101013_ecephys.nwb	sub-BWRat20/sub-BWRat20_ses-BWRat20-101513_ecephys.nwb	sub-BWRat21/sub-BWRat21_ses-BWRat21-121113_ecephys.nwb	sub-BWRat21/sub-BWRat21_ses-BWRat21-121613_ecephys.nwb	sub-BWRat21/sub-BWRat21_ses-BWRat21-121813_ecephys.nwb	sub-Bogey/sub-Bogey_ses-Bogey-012615_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-061814_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-061914_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-062014_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-072114_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-072314_ecephys.nwb	sub-Dino/sub-Dino_ses-Dino-072414_ecephys.nwb	sub-Rizzo/sub-Rizzo_ses-Rizzo-022615_ecephys.nwb	sub-Rizzo/sub-Rizzo_ses-Rizzo-022715_ecephys.nwb	sub-Splinter/sub-Splinter_ses-Splinter-020515_ecephys.nwb	sub-Splinter/sub-Splinter_ses-Splinter-020915_ecephys.nwb	sub-Templeton/sub-Templeton_ses-Templeton-032415_ecephys.nwb
2024-05-06	0	22433052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-13	0	12410184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-20	0	116	0	0	0	0	0	0	0	0	0	0	0	7830952	0	0	0	0	0	0	0	0
2024-05-27	23114514227	232	0	8295500	0	0	0	0	0	0	42819693716	17616071402	0	0	0	0	0	0	0	0	0	21224967784
2024-06-03	4591898835	2940899840	4976583960	6138172625	4656395195	8265085441	7055018257	7572209835	5935848396	4350611429	10213665404	8807934635	11647068450	14960791468	9571390129	7115520367	8346698940	11076844316	10100622892	9575877681	6206050302	10612482660
2024-06-10	0	0	4081551224	0	0	0	0	0	0	0	18336469872	13339164	0	0	0	0	0	7764588	0	0	0	0
2024-06-17	0	50748283	65361204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-24	0	0	0	0	0	0	0	0	0	0	62780344	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	2219129326	2289514064	1056199372	589860957	674149117	770000357	145208901	10483499	4395300188	59576293	9316673620	125649238	123962994	36895212	68487473	136697711	165425068	33028800	33481276	62917142	112027858	10631927312
2024-07-15	0	0	0	13870076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129689044
2024-07-22	10087328	10020964	8693684	10087328	14069168	12343704	9622780	11214688	12210976	6968220	11547336	14002804	11348244	7100948	13538256	10020964	12410068	10485512	12277340	12476432	11480972	4446388
2024-07-29	1530632945	1729742253	2567928780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-05	104569585	104115028	7624067168	153221869	2480528634	131362013	134668989	127320235	116478176	124372477	189370916	157182635	0	0	0	200161647	0	0	0	0	0	0
2024-08-19	0	0	29908082240	0	0	0	0	0	0	0	12542796	0	0	0	0	0	0	0	0	0	18644201698	21224965320
2024-08-26	23492856	102124108	2494862016	4512752	13339164	5304093033	23625584	10485512	13206436	13206436	0	18515556	9019749887	22364668	21170116	7141468691	11812792	2946931054	9888236	0	13737348	63685713292
2024-09-02	1977822005	0	3488078096	0	0	18248347451	0	0	0	0	0	12675524	14941076470	0	0	17181481086	0	11892035944	9755508	0	0	0
2024-09-09	119722195	265607680	109115300	0	0	0	13670984	260604930	113504928	0	0	0	0	0	255817747	0	11393800364	0	14026608576	13073916429	8345795046	42449930640
2024-09-16	635680639	447941848	637700224	893456790	912666146	793829578	670413089	266716705	549966168	412120388	742465060	424167737	621327650	503314668	526307051	588387981	666752224	185137980	278600812	330776231	359054622	11121180688
2024-09-23	1254835020	1069856000	1348722320	1532218690	1578751770	1350320290	1383390050	1177339395	1164781760	1119352293	1917546836	1514258435	2057084780	1920761184	1873700921	2037384423	2013537760	780785888	1228550496	1193435528	1130790896	22916660184
2024-09-30	104569585	81086720	113267340	153221869	157875177	136604893	139911869	116834475	116478176	124372477	194613796	0	0	0	0	0	0	0	0	0	0	74287378620
