week_start	sub-ROV40/sub-ROV40_ses-Day 1-obs_ophys.nwb	sub-ROV40/sub-ROV40_ses-Day 1-retrieval_ophys.nwb	sub-ROV40/sub-ROV40_ses-Day 2-obs_ophys.nwb	sub-ROV40/sub-ROV40_ses-Day 2-retrieval_ophys.nwb	sub-ROV40/sub-ROV40_ses-Day 3-obs_ophys.nwb	sub-ROV40/sub-ROV40_ses-Day 3-retrieval_ophys.nwb	sub-ROV41/sub-ROV41_ses-Day 1-obs_ophys.nwb	sub-ROV41/sub-ROV41_ses-Day 1-retrieval_ophys.nwb	sub-ROV41/sub-ROV41_ses-Day 2-obs_ophys.nwb	sub-ROV41/sub-ROV41_ses-Day 2-retrieval_ophys.nwb	sub-ROV41/sub-ROV41_ses-Day 3-obs_ophys.nwb	sub-ROV41/sub-ROV41_ses-Day 3-retrieval_ophys.nwb	sub-ROV43/sub-ROV43_ses-Day 1-obs_ophys.nwb	sub-ROV44/sub-ROV44_ses-Day 1-obs_ophys.nwb	sub-ROV45/sub-ROV45_ses-Day 1-obs_ophys.nwb	sub-ROV49/sub-ROV49_ses-Day 1-obs_ophys.nwb	sub-V110/sub-V110_ses-03032018_ecephys.nwb	sub-V111/sub-V111_ses-03032018_ecephys.nwb	sub-V111/sub-V111_ses-03052018_ecephys.nwb	sub-V111/sub-V111_ses-03062018_ecephys.nwb	sub-V116/sub-V116_ses-03082018_ecephys.nwb	sub-V116/sub-V116_ses-03092018_ecephys.nwb	sub-V116/sub-V116_ses-03102018_ecephys.nwb	sub-V116/sub-V116_ses-03122018_ecephys.nwb	sub-V118/sub-V118_ses-03182018_ecephys.nwb	sub-V118/sub-V118_ses-03192018_ecephys.nwb	sub-V118/sub-V118_ses-03212018_ecephys.nwb	sub-V118/sub-V118_ses-03222018_ecephys.nwb	sub-V85/sub-V85_ses-12102017-2_ecephys.nwb	sub-V85/sub-V85_ses-12102017_ecephys.nwb
2025-08-04	0	0	0	0	0	0	0	0	0	31378208	0	0	0	16675480	0	0	22177382400	6710886400	16076976095	0	0	0	0	13474201600	0	0	0	0	2569011200	0
2025-08-11	0	0	0	0	0	0	0	0	0	0	0	0	13637272	0	0	24405296	0	0	0	0	14837131857	41849495323	0	0	0	0	29753811912	0	0	14680064000
2025-08-18	27932232	0	28553016	0	21990224	0	0	0	0	0	0	0	0	0	9560728	0	0	0	16200499200	17301504000	0	0	0	0	0	0	0	0	0	0
2025-08-25	10022724	0	0	0	0	0	0	0	0	0	0	0	13637272	0	0	12208792	0	0	0	0	0	24431820800	7392460800	15253569077	23645388800	0	0	0	2726297600	0
2025-09-01	0	0	0	0	0	0	0	0	0	0	21876560	0	0	0	0	0	0	6132616060	0	0	16357711513	28888268800	0	0	0	14942208000	0	2192829828	0	31629543621
2025-09-08	0	0	0	0	0	0	0	41162528	0	0	0	0	0	0	0	0	0	3250585600	0	20934555619	0	0	0	0	0	16200499200	0	0	0	0
2025-09-15	4127004	4258020	15541916	5236524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	20751208	23826744	14051752	10049304	6507276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	9568160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	67193676	4127004	4192512	4681764	4389036	0	0	0	0	0	0	0	0	0	0	0	4682605	9053536	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23575578	21762088	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4682605	10521576	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71483727	72574388	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43422068	54401808	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29701793	35755588	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29143758	7142024	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25807718	27777044	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14736866	14910612	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	0	139016	0	0	0	0	0	0	20971520	0	0	0	0	0	0	0	15452586	5726060	0	0	17044602880	0	0	0	0	0	0	0	0	0
2025-12-15	98321040	67319596	57105552	46526504	61458796	54476588	65266996	41162528	15328872	20639500	21876560	96115288	28435936	16508016	0	7467912	18730420	12668914632	30298079827	33733930143	31096296557	12708552	4127004	31873498677	15197856	30629067212	16180476	5826067296	4813728405	0
2025-12-22	33175112	0	0	0	0	0	0	0	0	0	0	0	0	6189720	0	0	0	0	12962705375	0	0	0	0	0	0	0	0	3042170244	0	0
2025-12-29	0	0	0	0	15728640	20971520	9682768	20197152	0	0	0	0	0	0	0	0	17830208109	4323528	0	0	0	0	0	0	19138432155	0	0	0	0	0
2026-01-05	0	15873800	18067256	21888776	0	0	0	0	0	0	0	0	0	0	0	6959768	16936389984	15658064	0	0	0	0	0	0	0	0	24043847680	0	0	0
2026-01-12	104755928	42082056	0	0	44993008	0	29839008	0	79682704	62756416	21876560	0	6290736	22865200	19115312	0	0	0	3933920652	0	14191651984	0	0	0	2039534628	0	0	8543980332	9899951869	23489968980
2026-01-19	0	0	0	0	43968160	0	0	71851584	0	0	6154064	0	13631128	0	0	0	3100572811	13980068	0	0	0	0	5991805806	0	0	0	0	0	2621440000	0
2026-01-26	0	0	20971520	11409160	0	0	0	0	0	0	5242880	47498816	0	5242880	0	0	10410904	22771572	16145127391	28919726080	15209520793	32234053403	3974103040	29273036341	14068573339	13018071040	21338983368	2643717508	2323698569	23922516165
2026-02-02	0	0	0	0	0	10485760	0	15728640	15728640	20971520	0	0	5242880	0	0	0	4617097	9519954204	0	0	0	0	0	0	0	10008657920	0	0	0	0
2026-02-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4617097	14059008	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	8575132	0	5109560	4397312	204800	405280	405328	4536604	0	7803728	0	0	0	0	0	0	8319516	5333012	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-23	0	8319516	9187400	4880420	4462820	4585560	0	4061496	0	0	0	0	0	0	440984	426648	4879129	14183880	0	4716576	0	0	4389036	0	527515	0	0	0	4127004	8647056
2026-03-02	0	4900900	0	0	787280	0	4258020	0	5334800	0	782160	9709688	4323528	1185072	0	4389036	0	4723864	4258020	4389036	437913	4323528	0	4192512	527515	509424	0	0	0	0
2026-03-09	4323528	0	0	0	4127004	0	0	0	4127004	0	0	0	0	0	0	0	0	17687160	0	0	0	0	4635758	0	0	509424	5100772	0	0	0
2026-03-16	0	10350264	4127004	9957216	0	0	11463900	6223260	0	5895720	0	0	0	0	9554584	9105612	11264942	655080	15983952	0	0	0	0	0	0	0	20635020	0	0	0
