week_start	sub-Jaq/sub-Jaq_ses-jaq-01_behavior+ecephys.nwb	sub-Jaq/sub-Jaq_ses-jaq-02_behavior+ecephys.nwb	sub-Jaq/sub-Jaq_ses-jaq-03_behavior+ecephys.nwb	sub-Jaq/sub-Jaq_ses-jaq-04_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-01_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-02_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-04_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-05_behavior+ecephys.nwb	sub-Lotus/sub-Lotus_ses-Lotus-06_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-01_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-02_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-03_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-04_behavior+ecephys.nwb	sub-Monty/sub-Monty_ses-Monty-05_behavior+ecephys.nwb	sub-Peanut/sub-Peanut_ses-Peanut-01_behavior+ecephys.nwb	sub-Peanut/sub-Peanut_ses-Peanut-02_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-01_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-02_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-03_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-04_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-05_behavior+ecephys.nwb	sub-Roqui/sub-Roqui_ses-Roqui-06_behavior+ecephys.nwb
2024-12-09	67211208	0	0	760310536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-16	0	0	4127004	804685128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-23	0	0	0	95079382393	0	0	0	269483584	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-30	0	0	0	0	73613124	0	783996028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-06	45287996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-13	0	0	0	0	0	0	0	0	0	0	28823520	0	0	0	0	0	0	0	0	0	0	0
2025-02-03	33081540	16311492	10743312	30985284	11594916	20504004	31967904	33081540	10219248	32885016	11856948	25810152	20110956	33081540	44872980	34981272	10939836	14411760	33016032	32229936	18735288	32819508
2025-03-31	1015214508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-04-14	11463900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-12	10485760	20971520	52428800	10485760	41943040	40427396	10485760	10485760	10485760	10485760	10485760	47380204	10485760	10485760	62914560	62914560	10485760	10485760	52428800	10485760	10485760	10485760
2025-06-02	24147818004	0	0	77818339177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	289898472368	0	0	0	0	0	0
2025-06-23	114469372	112684160	138978446	101461745	112501700	145057916	136633800	135044612	127765679	133234600	115475104	155457456	108013820	139071272	76977412	127672136	119934548	218846720	139834776	131584556	121126916	272157520
2025-07-14	187015400	113273732	138716414	101134205	112894748	145123424	136633800	134717072	128093219	133496632	115475104	156243552	108144836	139071272	77435968	72121352	119934548	109554376	140227824	132174128	121126916	135816728
2025-07-21	0	0	0	42668514816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	20971520	227024389708	381993864376	28977007052	16508016	20971520	76962244163	20971520	12643044	80899389556	20766036	583404667408	20971520	15918444	15852936	15525396	15983952	16770048	12774060	20700528	17556144	3994081744
2025-08-04	80545893056	0	182741881850	0	0	0	0	0	124922964255	0	0	374733781668	0	0	783406968600	479640678664	0	0	0	0	0	73885716
2025-08-11	49715127524	0	0	77818339177	0	157985535244	0	97880255752	0	0	0	0	107870520064	0	395946304208	554849332056	0	94152168420	0	84103962004	101645440160	59912165628
2025-08-18	0	0	0	0	0	9629676	0	21748656	0	0	81337335748	0	0	0	0	0	0	0	0	0	0	6590286352
2025-08-25	494838776	479957884	0	1584198661	0	0	76944950051	0	0	0	0	0	0	0	625622640	0	467751496	94615483476	618009348	457753692	102105577584	9826097124
2025-09-01	0	0	0	0	0	0	48934476	97932667528	0	0	81337335748	0	0	0	0	0	95176861912	0	20700528	20110956	19914432	21945180
2025-09-08	0	0	182741881850	0	167055531316	0	0	0	106059847503	0	0	0	0	79386358676	0	0	20766036	22010688	386039888160	0	0	9564168
2025-09-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22534752
2025-09-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41158496	41530312	0	38705604	41907644	39405636
2025-09-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11538240
2025-10-06	85277216	32831076	41535270	24582543	52722216	61027428	59558238	61170540	44649251	50466180	52218808	69411168	48275496	46238404	27753240	28496388	28707108	31311504	40219260	28587024	29121576	371477048
2025-10-13	38752056	44036800	53327776	31139024	35300996	39090924	39596312	43276348	40003624	41159040	41984672	56066100	44576404	42414812	38030612	41183240	43451276	41530312	55023184	41456940	41711120	39733176
2025-10-20	9917292	10943692	13823254	8194181	9201920	10116648	9915455	11228512	8903647	10224252	10823708	14458704	9162484	11013128	9622292	10263056	10224116	10415332	14214352	9529008	10427780	9835032
2025-10-27	72106872	76736860	97483366	58865951	61203548	72192204	70390805	76175788	63504673	72224844	73473176	98525100	79466260	75192164	65128772	71579360	72813464	72776308	99828004	67489152	73190984	69958860
2025-11-03	136680324	154849388	195032240	115177090	123324208	138554196	140716102	153137672	124061486	142091400	142557316	195346992	157556852	150646360	129602464	143486260	143727196	146993792	200442104	134978304	146578492	140179752
2025-11-10	173288192	131979384	168499368	99836856	104854860	123954588	119837064	130025568	108350448	123149580	126347064	167674236	132222528	127834008	111799056	122501592	122951424	126425160	170703240	115199700	126115980	117561828
2025-11-17	151955656	76998892	98269462	58603919	58517720	70751028	69408185	75717232	63111625	72159336	72949112	98066544	78876688	74930132	63163532	71251820	72682448	73955452	99565972	68078724	72404888	69565812
2025-11-24	69224520	80470816	97876414	58341887	60876008	71799156	69801233	76241296	62587561	71962812	73342160	97476972	74618668	74471576	64670216	73217060	71896352	72776308	99107416	66572040	72666920	67273032
2025-12-01	67979868	77457448	97941922	57948839	61727612	73043808	70521821	76765360	62456545	73141956	74390288	98525100	76649416	75061148	65128772	71710376	73403036	73365880	101269180	67685676	72535904	69565812
2025-12-08	58717656	65662152	83660112	49361610	53115264	60961920	61392462	68812248	53814930	61869576	62780484	83476824	67814472	63917004	55834020	61381812	61934268	63081564	85679160	58156668	62959728	59075700
2025-12-15	81851307252	262612540988	305766858014	155714285274	167090037504	158080552648	77036261655	97975127964	105927447351	80974698280	81433227548	191265320644	215749501416	79491299256	262104004212	291537911628	95274704300	94245775832	196588082508	84197750212	101762533512	60003947484
2025-12-22	0	0	0	0	0	0	0	0	0	80879671648	0	0	0	0	0	291444801836	0	0	0	0	0	0
2025-12-29	9655260	10812676	14281810	8587229	8808872	10313172	9915455	11031988	8903647	10224252	10758200	13803624	11127724	10620080	9163736	10263056	10355132	10480840	14214352	9922056	10296764	9835032
2026-01-05	88312932	88859696	111044588	66863608	70274452	81522756	80306260	87600824	72342812	82842144	84034852	112328724	90266444	85550212	262093522932	82759528	79434640	83519180	113321768	76887144	83160208	59991762996
