week_start	sub-Rat1/sub-Rat1_ses-20200921T124059_ecephys.nwb	sub-Rat1/sub-Rat1_ses-20200921T124159_ecephys.nwb	sub-Rat1/sub-Rat1_ses-20200921T124259_ecephys.nwb	sub-Rat1/sub-Rat1_ses-20200921T131723_ecephys.nwb	sub-Rat1/sub-Rat1_ses-20200921T131823_ecephys.nwb	sub-Rat1/sub-Rat1_ses-20200921T131923_ecephys.nwb	sub-Rat2/sub-Rat2_ses-20200924T153806_ecephys.nwb	sub-Rat2/sub-Rat2_ses-20200924T153906_ecephys.nwb	sub-Rat2/sub-Rat2_ses-20200924T154006_ecephys.nwb	sub-Rat2/sub-Rat2_ses-20200924T155423_ecephys.nwb	sub-Rat2/sub-Rat2_ses-20200924T155523_ecephys.nwb	sub-Rat2/sub-Rat2_ses-20200924T155623_ecephys.nwb	sub-San2/sub-San2_ses-20190904T115428_ecephys.nwb	sub-San2/sub-San2_ses-20190904T115958_ecephys.nwb	sub-San4/sub-San4_ses-20191028T151843_ecephys.nwb	sub-San4/sub-San4_ses-20191107T150118_ecephys.nwb	sub-San4/sub-San4_ses-20191107T150515_ecephys.nwb	sub-San4/sub-San4_ses-20191113T154743_ecephys.nwb	sub-San4/sub-San4_ses-20191127T114535_ecephys.nwb	sub-San4/sub-San4_ses-20191127T122703_ecephys.nwb	sub-San4/sub-San4_ses-20191216T144004_ecephys.nwb	sub-San4/sub-San4_ses-20200106T151106_ecephys.nwb	sub-San4/sub-San4_ses-20200106T153513_ecephys.nwb	sub-San4/sub-San4_ses-20200204T141344_ecephys.nwb	sub-San4/sub-San4_ses-20200204T141717_ecephys.nwb	sub-San4/sub-San4_ses-20200218T182812_ecephys.nwb	sub-San4/sub-San4_ses-20200218T183658_ecephys.nwb	sub-San4/sub-San4_ses-20200302T142114_ecephys.nwb	sub-San4/sub-San4_ses-20200302T142549_ecephys.nwb	sub-San4/sub-San4_ses-20200430T084358_ecephys.nwb	sub-San4/sub-San4_ses-20200430T084710_ecephys.nwb	sub-San4/sub-San4_ses-20200430T090906_ecephys.nwb	sub-San6/sub-San6_ses-20200204T144357_ecephys.nwb	sub-San6/sub-San6_ses-20200204T145647_ecephys.nwb	sub-San6/sub-San6_ses-20200204T150032_ecephys.nwb	sub-San6/sub-San6_ses-20200218T175723_ecephys.nwb	sub-San6/sub-San6_ses-20200218T180538_ecephys.nwb	sub-San6/sub-San6_ses-20200218T181019_ecephys.nwb	sub-San6/sub-San6_ses-20200218T181402_ecephys.nwb	sub-San6/sub-San6_ses-20200302T151055_ecephys.nwb	sub-San6/sub-San6_ses-20200302T151530_ecephys.nwb	sub-San6/sub-San6_ses-20200302T152233_ecephys.nwb
2025-07-14	1397294	1603903	1637085	1405214	1086988	1119913	1049507	633014	844273	799413	765248	597541	580606	699042	675880	695430	531618	566201	609176	572699	326078	863722	756777	654680	781732	410668	592363	4811159	1029599	597385	635717	574333	826627	953938	402642	751224	739201	813017	352707	672616	774126	546755
2025-07-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231118985	0	0	0	0
2025-07-28	16384	0	0	2768930403	2965742184	0	0	3460300800	0	0	3184008732	2920527174	103149575	0	0	118329848	0	0	0	98058956	0	0	0	0	52428800	0	0	0	0	0	0	0	0	70022549	0	0	0	0	196132252	0	75148757	0
2025-08-04	24576	3738612634	0	0	0	2621440000	0	0	0	0	0	0	0	106345201	0	0	0	0	0	0	0	0	0	282398002	0	209715200	52106511	0	73876900	0	0	0	0	0	165972531	0	100737444	0	0	0	0	0
2025-08-11	0	0	0	0	0	0	2967874704	0	3497210230	3250585600	0	0	0	0	0	0	0	200674136	0	0	224889434	209715200	163337359	0	0	0	0	184838268	0	0	140237398	0	0	0	0	209715200	0	0	0	133584438	0	0
2025-08-18	8192	0	0	0	0	0	0	0	0	0	0	0	0	0	113044467	0	196787782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139615236	0	0	0	0	0	0	0	0	0	125074924
2025-08-25	24576	0	0	9695184	0	0	0	0	0	0	0	0	103149575	0	0	0	0	0	0	52428800	0	0	0	0	0	104857600	156964111	0	0	0	157286400	0	0	174880149	0	0	0	0	0	290870838	0	0
2025-09-01	24576	0	2411724800	0	0	0	0	0	2883584000	0	0	0	0	0	0	0	0	0	157286400	0	0	220212042	0	0	0	0	0	0	0	0	0	0	0	0	218401331	0	0	0	0	0	0	0
2025-09-08	2306883584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4127004	0	262144000	0	0	209715200	0	0	0	0	0	0	0	0	0
2025-09-15	16384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-22	24576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5895720	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	16384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5961228	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	16384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21541576	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-13	8192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	8192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	16384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	16384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13756680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	8192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249582572	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	8192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	8192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	4525045184	4533364150	9058382190	8902181634	4433748584	2108096916	9096413232	12643044	8385024	4562674954	9098442068	8319516	103149575	212690402	238076898	222479000	401829572	406981960	0	424895940	283475986	229186638	233322303	479197756	459430862	669531810	278133203	269824544	235290304	462874904	251318258	207307400	586944312	235693973	9957216	1139853880	524498220	465166914	511795896	253705402	238854941	237400436
2025-12-22	0	0	0	2470430807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177703514	0	0	188026162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139116102	157286400	0	0	0	0	0	0	0	0	0	12315504	0	0	0	102915076	0	0	0	0	0	0	0	0	0	0
2026-01-05	0	0	0	0	0	0	2915041280	3192913920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186175736	189220260	0	0	0	0	0	0	0	0	0	0	0	0	146046444
2026-01-12	1212001336	0	4524277995	4890269191	0	500227748	0	0	0	0	204713296	242736608	402112540	0	339133401	0	0	0	0	0	298289754	0	0	55227724	0	0	0	0	0	0	0	576132108	0	0	0	0	0	244711397	0	0	0	0
2026-01-19	0	3046552474	0	0	0	0	0	0	0	0	3047693852	2810426694	0	0	65858547	104857600	326153438	390862512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	588848524	0	0	372244480	0	0	0	0	242920917	0
2026-01-26	0	0	3355115755	0	3266314240	0	0	0	0	3742041058	0	0	57671680	0	0	0	0	0	0	129516236	0	0	158094479	0	136314880	178257920	141557760	0	0	131072000	119265878	0	178257920	0	146800640	0	162529280	0	162529280	154555958	143306197	0
2026-02-02	3030824384	0	0	0	0	0	0	0	2967679350	0	0	0	0	69645041	0	0	0	0	117807817	0	0	146800640	0	0	0	0	0	0	0	0	0	0	0	157286400	0	0	0	0	0	0	0	0
2026-02-16	11161188	0	0	0	0	0	0	0	0	0	0	0	0	9433152	0	0	0	0	0	0	13953904	0	0	0	0	0	0	11399092	0	0	8320216	0	15296468	14575880	409600	0	0	0	14493820	0	0	0
2026-02-23	9445916	9613824	512000	4835528	11579764	0	10088932	0	6056052	4454544	0	0	0	0	0	5449928	0	0	5507160	0	0	0	0	0	0	0	0	22125852	0	1024000	1587798	4192512	0	0	0	0	0	5724249	0	0	5421312	5765404
2026-03-02	0	0	0	0	0	0	0	4585560	0	0	6338108	1512774	1024000	0	0	0	1408582	4192512	0	5716884	5421312	0	1331200	1002802	0	5421312	5733763	0	5560604	0	0	0	1228800	1331200	0	4127004	15721920	0	5355804	0	0	0
2026-03-09	5568880	0	0	6035712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5337935	0	0	0	0	0	0	0
2026-03-16	0	0	0	0	0	22272720	9826200	22010688	0	0	0	0	0	0	0	8516040	0	0	0	0	9629676	0	0	0	0	0	0	11725932	26792772	0	0	17687160	0	0	0	0	0	16901064	0	0	0	5961228
2026-03-23	0	0	0	17687160	0	0	0	0	0	0	7243472	4602112	0	0	0	0	0	0	0	0	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52406400	0	0	0	0
2026-03-30	0	4127004	0	5560604	1433600	0	4127004	0	2051788	0	4323528	5589220	0	4127004	6092244	0	5666602	0	0	5520360	5355804	4946204	5216512	4192512	0	4323528	1725711	1228800	5560604	1744588	1587798	1843200	1228800	720588	5096243	4127004	0	1024000	0	4127004	4192512	4127004
2026-04-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6550800	0	0	0	0	0	0	0	0	0	0
2026-04-13	8192	0	0	9695184	0	0	0	0	0	0	0	0	0	0	0	0	917112	0	0	0	0	0	0	0	0	0	4127004	0	1113636	0	0	0	0	7926468	8319516	0	0	0	0	0	0	0
2026-04-20	0	0	0	0	9498660	0	0	0	0	0	0	0	52013352	0	0	0	0	0	0	0	11791440	0	0	0	0	0	0	0	6485292	917112	6681816	7140372	0	0	0	0	4127004	0	0	0	0	10939836
