week_start	sub-N1/sub-N1_ses-2019-02-12_ecephys.nwb	sub-N1/sub-N1_ses-2019-12-20_ecephys.nwb	sub-P1/sub-P1_ses-2015-08-12_ecephys.nwb	sub-P1/sub-P1_ses-2015-08-14_ecephys.nwb	sub-P1/sub-P1_ses-2015-08-17_ecephys.nwb	sub-P1/sub-P1_ses-2015-08-21_ecephys.nwb	sub-P1/sub-P1_ses-2016-04-27_ecephys.nwb	sub-P1/sub-P1_ses-2016-05-04_ecephys.nwb	sub-P1/sub-P1_ses-2016-05-11_ecephys.nwb	sub-P1/sub-P1_ses-2016-05-16_ecephys.nwb	sub-P1/sub-P1_ses-2016-05-20_ecephys.nwb	sub-P1/sub-P1_ses-2016-05-23_ecephys.nwb
2026-02-02	5302516	5838180	2522400	8308032	4916220	5793344	5594840	4839680	5419560	6268896	3814464	5046260
2026-02-09	43759260	33796644	3729600	7562224	4547376	6721152	5594840	6645120	5419560	7876912	6950496	7632472
2026-02-16	10277492	5048100	6332800	4526920	8561864	3770176	3827944	5249280	1985032	4384064	5587280	6582260
2026-02-23	10015460	13171092	6580800	9639232	3011376	902976	5915088	5992960	6112824	5624112	4153680	3919860
2026-03-02	0	790080	0	0	0	1830784	0	0	1922064	0	0	1793224
2026-03-09	0	0	0	0	0	0	1971696	0	0	0	0	0
2026-03-16	5691932	27479856	3111972	4154016	12535596	1322572	2954316	288320	6598704	4660880	1907232	3586448
2026-03-23	38513976	12675048	657600	2822816	5336636	2131776	320248	3272904	5419560	1857284	3814464	6839484
2026-03-30	25632716	9772160	0	0	0	0	1651448	0	0	1608016	0	1459812
2026-04-06	0	9391680	0	1704104	3035032	0	1651448	1517120	0	0	1568016	204800
2026-04-13	0	9391680	3729600	1704104	3809688	1529792	3302896	3034240	4726296	3216032	3136032	3253036
2026-04-20	0	790080	0	1027984	2273688	2250380	3302896	3322560	2492544	481616	1907232	1459812
