week_start	sub-01/sub-01_ses-3_behavior+ecephys.nwb	sub-01/sub-01_ses-4_behavior+ecephys.nwb	sub-01/sub-01_ses-5_behavior+ecephys.nwb	sub-01/sub-01_ses-7_behavior+ecephys.nwb	sub-02/sub-02_ses-3_behavior+ecephys.nwb	sub-02/sub-02_ses-4_behavior+ecephys.nwb	sub-02/sub-02_ses-5_behavior+ecephys.nwb	sub-02/sub-02_ses-6_behavior+ecephys.nwb	sub-03/sub-03_ses-3_behavior+ecephys.nwb	sub-03/sub-03_ses-4_behavior+ecephys.nwb	sub-03/sub-03_ses-5_behavior+ecephys.nwb	sub-03/sub-03_ses-6_behavior+ecephys.nwb	sub-04/sub-04_ses-3_behavior+ecephys.nwb	sub-04/sub-04_ses-4_behavior+ecephys.nwb	sub-04/sub-04_ses-5_behavior+ecephys.nwb	sub-04/sub-04_ses-6_behavior+ecephys.nwb	sub-04/sub-04_ses-7_behavior+ecephys.nwb	sub-05/sub-05_ses-3_behavior+ecephys.nwb	sub-05/sub-05_ses-4_behavior+ecephys.nwb	sub-05/sub-05_ses-7_behavior+ecephys.nwb	sub-06/sub-06_ses-3_behavior+ecephys.nwb	sub-06/sub-06_ses-4_behavior+ecephys.nwb	sub-06/sub-06_ses-5_behavior+ecephys.nwb	sub-06/sub-06_ses-6_behavior+ecephys.nwb	sub-06/sub-06_ses-7_behavior+ecephys.nwb	sub-07/sub-07_ses-3_behavior+ecephys.nwb	sub-07/sub-07_ses-4_behavior+ecephys.nwb	sub-07/sub-07_ses-5_behavior+ecephys.nwb	sub-07/sub-07_ses-6_behavior+ecephys.nwb	sub-07/sub-07_ses-7_behavior+ecephys.nwb	sub-08/sub-08_ses-3_behavior+ecephys.nwb	sub-08/sub-08_ses-4_behavior+ecephys.nwb	sub-08/sub-08_ses-5_behavior+ecephys.nwb	sub-08/sub-08_ses-6_behavior+ecephys.nwb	sub-08/sub-08_ses-7_behavior+ecephys.nwb	sub-09/sub-09_ses-3_behavior+ecephys.nwb	sub-09/sub-09_ses-4_behavior+ecephys.nwb	sub-09/sub-09_ses-5_behavior+ecephys.nwb	sub-09/sub-09_ses-6_behavior+ecephys.nwb	sub-09/sub-09_ses-7_behavior+ecephys.nwb	sub-10/sub-10_ses-3_behavior+ecephys.nwb	sub-10/sub-10_ses-4_behavior+ecephys.nwb	sub-10/sub-10_ses-5_behavior+ecephys.nwb	sub-10/sub-10_ses-6_behavior+ecephys.nwb	sub-10/sub-10_ses-7_behavior+ecephys.nwb	sub-11/sub-11_ses-3_behavior+ecephys.nwb	sub-11/sub-11_ses-4_behavior+ecephys.nwb	sub-11/sub-11_ses-5_behavior+ecephys.nwb	sub-11/sub-11_ses-6_behavior+ecephys.nwb	sub-11/sub-11_ses-7_behavior+ecephys.nwb	sub-12/sub-12_ses-3_behavior+ecephys.nwb	sub-12/sub-12_ses-4_behavior+ecephys.nwb	sub-12/sub-12_ses-5_behavior+ecephys.nwb	sub-12/sub-12_ses-6_behavior+ecephys.nwb	sub-12/sub-12_ses-7_behavior+ecephys.nwb
2022-07-18	14431243	77838103	0	0	0	0	0	0	0	0	0	0	2757852221	10431534345	0	0	0	0	0	0	0	0	0	0	0	9946060	0	0	0	0	0	0	0	0	0	938554782	0	0	0	0	485432	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-07-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10021863235	0	0	8677867522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-08-01	15944476372	10506929923	10712252416	0	19875227359	11913576777	0	0	0	0	0	8388608000	0	8960448948	8945894505	0	10428548744	0	0	11819548672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14691702378	0	0	0	13810350467	0	0	0	0	0	0	0	12595013901	0	14500887975	0	0	0	0
2022-08-08	29698267070	15925970691	15909602501	25631047457	26053664496	18318013033	36988990312	36932537472	16226771799	34981674870	38698324153	25576645047	16847891554	8029661948	20212683533	50288534757	10007035836	31089964350	13421772800	455843461	23731449512	24667288021	8140025660	18803797215	21976564822	18969984646	11952493872	5368709120	0	9315347881	11698266544	10603086667	10076520068	10928209474	11102836387	13888457682	0	12258886166	12348030976	8053063680	0	11133344717	17632192103	18005872478	10896420840	18233901390	9126805504	11811160064	0	13306950505	15913428088	20483510105	27279354625	18895226507	25973588735
2022-08-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2351443033	0	2970841024	10389089705	3972828504	0	0	0	0	0	19741644394	19775078934	19678132251	19584392586	0	19723279309	19242804839	0	19486355432	0	16985717017	17130638679	17150028045	0	4031905191	1063882585	6737665328	2892682085	1304658861
2022-08-22	0	15925970691	15909602501	0	13932801912	0	0	13938729701	12993721651	0	12882908477	12766259947	8423945777	13233736922	0	0	13574276744	17155594911	0	16978351793	0	25770477608	12971863868	0	12849759318	10021863235	20790439878	5717669914	13216055577	0	11011568496	14474998357	28162625513	43254241195	14860932771	37407037348	0	19775078934	27874206420	0	0	0	19242804839	19616485214	13810815123	17160159566	16985717017	0	15099650797	0	0	19946639193	19949722928	21164231958	326556358
2022-08-29	15903762527	0	0	0	0	0	222897478464	0	0	0	0	0	0	0	0	0	0	0	0	0	34481268036	0	0	12898217183	0	0	0	10409046599	0	0	29838984032	14898053963	0	0	0	0	0	19775078934	0	0	0	39446558618	0	0	0	0	0	0	0	34130093778	0	0	0	0	19611966150
2022-09-05	0	0	0	0	0	0	13931092404	0	0	0	0	0	0	0	0	0	0	0	0	0	2155248236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-10-03	21409854845	6952931477	2701169877	2360445120	1346320	123920	82496	229344	899600	266488	85056	210768	8424530773	221696	42376	221224	225984	980228	104856	147752	1618016	215272	41432	174200	0	833312	245176	242376	84288	204104	945404	75080	0	0	0	764372	0	0	0	0	1070478	0	0	0	0	816308	0	0	0	0	36847171624	0	0	19968968331	0
2022-10-31	63633200193	31852381518	31819205002	10273614013	27865603824	14194592746	13931092404	13938729701	25987443302	39040343676	0	25532519894	16847891554	26467473844	0	0	0	53320204463	32213180637	32600864882	0	0	0	25796434366	12849759318	10021863235	10395219939	10409046599	0	10389089705	0	14898053963	14908358276	0	14860932771	19794037714	19741644394	0	19678132251	19584392586	0	19723279309	0	0	19486355432	17160159566	16985717017	17130638679	17150028045	17065046889	0	19946639193	39899445856	19968968331	19611966150
